night_date,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),soil_temperature_0_to_7cm (°C),rain (mm),snowfall (cm),wind_gusts_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),vapour_pressure_deficit (kPa),hour
2021-03-23,9.328571428571427,52.285714285714285,5.2,78.71428571428571,1009.4857142857143,13.957142857142857,157.14285714285714,-0.014285714285714282,9.328571428571427,0.0,0.0,27.62857142857143,27.657142857142855,174.85714285714286,0.5671428571428572,3.0
2021-03-24,11.107692307692307,71.92307692307692,7.438461538461539,92.61538461538461,1005.3153846153847,18.8,169.15384615384616,6.123076923076923,9.446153846153846,0.05384615384615384,0.0,40.37692307692308,31.753846153846155,170.69230769230768,0.38307692307692304,11.076923076923077
2021-03-25,15.723076923076924,69.38461538461539,14.107692307692307,94.46153846153847,1000.6846153846153,11.892307692307693,178.3846153846154,9.838461538461539,12.63846153846154,0.0,0.0,27.76153846153846,23.45384615384615,188.84615384615384,0.6069230769230769,11.076923076923077
2021-03-26,8.123076923076923,90.23076923076923,4.723076923076923,99.46153846153847,992.9153846153846,19.06923076923077,281.38461538461536,6.653846153846154,9.476923076923077,0.5769230769230769,0.0,47.3,31.76923076923077,282.2307692307692,0.1,11.076923076923077
2021-03-27,5.023076923076923,65.3076923076923,1.7999999999999998,63.76923076923077,1008.0076923076923,6.4,192.3846153846154,-1.1615384615384614,5.684615384615385,0.0,0.0,15.353846153846153,11.646153846153847,149.15384615384616,0.3246153846153846,11.076923076923077
2021-03-28,6.992307692307692,89.46153846153847,2.6923076923076925,80.61538461538461,983.9538461538461,21.838461538461537,185.69230769230768,5.323076923076924,6.253846153846154,0.5692307692307692,0.0,50.75384615384615,37.63076923076923,185.23076923076923,0.1053846153846154,11.076923076923077
2021-03-29,0.9615384615384616,49.30769230769231,-3.569230769230769,0.15384615384615385,1008.7692307692307,10.830769230769231,202.92307692307693,-9.169230769230769,2.746153846153846,0.0,0.0,29.23846153846154,16.946153846153848,278.38461538461536,0.35615384615384615,11.076923076923077
2021-03-30,12.353846153846153,37.76923076923077,5.861538461538462,67.92307692307692,1006.9230769230769,29.56153846153846,180.30769230769232,-1.8153846153846152,9.346153846153847,0.0,0.0,64.87692307692308,47.84615384615385,181.84615384615384,0.9153846153846155,11.076923076923077
2021-03-31,10.592307692307692,85.76923076923077,7.315384615384615,100.0,1000.1076923076923,19.407692307692308,218.15384615384616,7.946153846153846,9.953846153846154,0.6461538461538462,0.0,45.66923076923077,32.49230769230769,271.61538461538464,0.25846153846153846,11.076923076923077
2021-04-01,-1.776923076923077,57.46153846153846,-7.915384615384616,93.84615384615384,1003.9538461538461,20.638461538461538,260.3076923076923,-9.200000000000001,1.4692307692307693,0.0,0.03230769230769231,50.53846153846154,31.13076923076923,260.61538461538464,0.2253846153846154,11.076923076923077
2021-04-02,-0.8153846153846154,48.15384615384615,-5.746153846153846,44.46153846153846,1009.7769230769231,11.584615384615384,311.2307692307692,-10.538461538461538,0.2,0.0,0.0,28.576923076923077,19.453846153846154,313.6923076923077,0.30230769230769233,11.076923076923077
2021-04-03,3.0461538461538464,49.61538461538461,-0.24615384615384617,29.846153846153847,1009.9538461538461,4.1923076923076925,191.3846153846154,-7.6,1.6923076923076923,0.0,0.0,11.538461538461538,6.561538461538461,231.92307692307693,0.43,11.076923076923077
2021-04-04,7.392307692307692,54.30769230769231,3.0846153846153848,47.46153846153846,1004.4307692307692,15.046153846153846,298.46153846153845,-1.4846153846153847,6.0,0.0,0.0,35.392307692307696,26.26923076923077,350.0,0.4930769230769231,11.076923076923077
2021-04-05,6.923076923076923,50.0,2.353846153846154,68.3076923076923,1002.2461538461538,14.923076923076923,319.0769230769231,-3.146153846153846,7.115384615384615,0.0,0.0,34.97692307692308,26.207692307692305,296.7692307692308,0.5346153846153846,11.076923076923077
2021-04-06,8.838461538461539,68.15384615384616,5.838461538461539,38.30769230769231,1003.6538461538462,11.115384615384615,208.6153846153846,2.9923076923076923,8.107692307692307,0.0,0.0,26.73846153846154,18.661538461538463,203.07692307692307,0.38769230769230767,11.076923076923077
2021-04-07,9.830769230769231,80.53846153846153,7.346153846153846,58.30769230769231,1005.7923076923076,11.284615384615384,192.53846153846155,6.453846153846154,9.2,0.0,0.0,25.838461538461537,17.792307692307695,198.92307692307693,0.28,11.076923076923077
2021-04-08,13.161538461538461,72.23076923076923,11.484615384615385,32.46153846153846,1004.9923076923077,9.753846153846153,195.15384615384616,8.115384615384615,11.453846153846154,0.0,0.0,21.823076923076922,16.792307692307695,193.23076923076923,0.4507692307692308,11.076923076923077
2021-04-09,17.153846153846153,50.0,14.246153846153845,63.92307692307692,1004.1538461538462,15.361538461538462,178.6153846153846,6.3307692307692305,15.084615384615384,0.0,0.0,34.47692307692308,27.092307692307692,184.6153846153846,1.0338461538461539,11.076923076923077
2021-04-10,15.276923076923076,76.53846153846153,15.161538461538461,44.23076923076923,995.9615384615385,4.538461538461538,171.53846153846155,10.792307692307693,14.623076923076923,0.0,0.0,12.930769230769231,6.746153846153846,178.07692307692307,0.4884615384615385,11.076923076923077
2021-04-11,15.007692307692308,67.07692307692308,13.376923076923077,99.76923076923077,992.9769230769232,10.169230769230769,160.53846153846155,8.915384615384616,14.176923076923078,0.0,0.0,26.653846153846153,17.47692307692308,163.84615384615384,0.566923076923077,11.076923076923077
