night_date,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),soil_temperature_0_to_7cm (°C),rain (mm),snowfall (cm),wind_gusts_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),vapour_pressure_deficit (kPa),hour
2024-12-19,1.7384615384615385,73.46153846153847,-2.1307692307692307,97.6923076923077,1018.4923076923077,9.461538461538462,50.76923076923077,-2.569230769230769,3.861538461538461,0.0,0.0,18.007692307692306,20.084615384615386,59.76923076923077,0.18615384615384614,11.076923076923077
2024-12-20,0.7384615384615384,96.23076923076923,-2.9538461538461536,100.0,1007.0153846153846,10.984615384615385,253.6153846153846,0.19230769230769232,2.4461538461538463,0.06923076923076923,0.04846153846153847,23.192307692307693,21.407692307692308,234.0,0.025384615384615387,11.076923076923077
2024-12-21,-6.961538461538462,62.38461538461539,-12.76923076923077,12.846153846153847,1020.7615384615384,16.13076923076923,315.84615384615387,-12.938461538461537,0.08461538461538462,0.0,0.0,35.01538461538461,28.26153846153846,318.3076923076923,0.1376923076923077,11.076923076923077
2024-12-22,-10.423076923076923,63.30769230769231,-15.507692307692308,0.0,1030.7307692307693,9.8,320.0,-16.115384615384617,-4.853846153846154,0.0,0.0,18.33076923076923,19.084615384615383,165.30769230769232,0.1053846153846154,11.076923076923077
2024-12-23,-3.284615384615385,76.92307692307692,-7.592307692307693,97.0,1025.4692307692308,9.192307692307692,210.07692307692307,-6.8076923076923075,-1.330769230769231,0.0,0.0,16.96153846153846,19.353846153846153,207.30769230769232,0.11153846153846153,11.076923076923077
2024-12-24,-1.3384615384615384,85.15384615384616,-5.369230769230769,25.692307692307693,1021.323076923077,9.738461538461538,212.23076923076923,-3.523076923076923,-0.6384615384615385,0.0,0.0,17.46923076923077,20.99230769230769,138.76923076923077,0.08384615384615385,11.076923076923077
2024-12-25,-3.069230769230769,75.0,-7.176923076923076,91.0,1024.8692307692306,7.707692307692308,125.23076923076923,-6.869230769230769,-0.7461538461538461,0.0,0.0,14.330769230769231,15.838461538461539,24.76923076923077,0.12153846153846154,11.076923076923077
2024-12-26,-2.9538461538461536,67.61538461538461,-6.93076923076923,31.23076923076923,1026.146153846154,5.892307692307692,24.46153846153846,-8.176923076923076,-0.8538461538461538,0.0,0.0,10.8,11.26923076923077,45.53846153846154,0.16076923076923075,11.076923076923077
2024-12-27,3.569230769230769,92.23076923076923,0.8,95.07692307692308,1021.9846153846154,7.3307692307692305,149.76923076923077,2.4384615384615382,1.353846153846154,0.2538461538461539,0.0,13.815384615384614,18.184615384615384,162.84615384615384,0.060000000000000005,11.076923076923077
2024-12-28,10.692307692307692,99.3076923076923,9.6,100.0,1017.6692307692308,8.815384615384614,215.23076923076923,10.607692307692307,7.884615384615385,0.1,0.0,16.93846153846154,22.161538461538463,214.84615384615384,0.006923076923076922,11.076923076923077
2024-12-29,13.830769230769231,92.15384615384616,11.46923076923077,100.0,1002.2846153846154,21.638461538461538,185.3846153846154,12.515384615384615,12.092307692307692,0.3230769230769231,0.0,46.47692307692308,38.08461538461539,188.0,0.12846153846153846,11.076923076923077
2024-12-30,6.153846153846154,67.23076923076923,2.646153846153846,2.3846153846153846,1006.3461538461538,9.884615384615385,255.30769230769232,0.4461538461538461,7.4,0.0,0.0,19.023076923076925,22.384615384615383,264.84615384615387,0.31846153846153846,11.076923076923077
2024-12-31,8.738461538461538,94.61538461538461,6.023076923076923,50.07692307692308,995.0769230769231,14.86923076923077,197.84615384615384,7.846153846153846,8.523076923076923,1.3384615384615384,0.0,31.03846153846154,29.27692307692308,200.84615384615384,0.06461538461538462,11.076923076923077
2025-01-01,3.0307692307692307,58.84615384615385,-2.869230769230769,5.153846153846154,1006.0153846153846,22.015384615384615,274.7692307692308,-4.269230769230769,5.138461538461538,0.0,0.0,47.73076923076923,38.26153846153846,277.2307692307692,0.3215384615384615,11.076923076923077
2025-01-02,-0.676923076923077,55.84615384615385,-6.553846153846154,4.6923076923076925,1012.3846153846154,18.992307692307694,271.61538461538464,-8.46923076923077,1.876923076923077,0.0,0.0,40.83846153846154,33.55384615384615,273.84615384615387,0.26,11.076923076923077
2025-01-03,-1.623076923076923,72.3076923076923,-6.815384615384615,48.61538461538461,1004.7538461538461,15.892307692307693,292.2307692307692,-6.176923076923076,0.9846153846153846,0.0,0.043076923076923075,32.99230769230769,28.569230769230767,295.7692307692308,0.14769230769230768,11.076923076923077
2025-01-04,-3.776923076923077,50.15384615384615,-9.86923076923077,0.5384615384615384,1012.0153846153846,18.130769230769232,277.53846153846155,-12.684615384615386,0.4846153846153846,0.0,0.0,38.66153846153846,31.54615384615385,279.6923076923077,0.2323076923076923,11.076923076923077
2025-01-05,-2.9153846153846152,57.07692307692308,-7.653846153846154,95.53846153846153,1012.9384615384616,10.03076923076923,281.61538461538464,-10.23076923076923,0.5230769230769231,0.0,0.0,21.799999999999997,19.76153846153846,288.38461538461536,0.2107692307692308,11.076923076923077
2025-01-06,-5.023076923076923,74.76923076923077,-10.830769230769231,75.53846153846153,1001.5999999999999,18.484615384615385,277.46153846153845,-8.838461538461537,-0.015384615384615382,0.0,0.03230769230769231,40.06923076923077,32.2,280.53846153846155,0.10230769230769231,11.076923076923077
2025-01-07,-4.661538461538462,61.30769230769231,-11.069230769230769,53.46153846153846,1011.5923076923077,21.03846153846154,300.38461538461536,-11.007692307692308,-2.0923076923076924,0.0,0.0,45.33846153846154,37.36923076923077,303.0,0.16923076923076924,11.076923076923077
2025-01-08,-6.869230769230769,54.69230769230769,-13.815384615384614,13.307692307692308,1006.3615384615385,23.192307692307693,297.6923076923077,-14.553846153846154,-2.5076923076923077,0.0,0.0,49.315384615384616,40.400000000000006,300.0,0.1676923076923077,11.076923076923077
2025-01-09,-3.2153846153846155,57.38461538461539,-9.792307692307691,5.538461538461538,1008.7384615384616,22.523076923076925,311.61538461538464,-10.484615384615385,-1.5538461538461539,0.0,0.0,48.57692307692308,39.36153846153846,314.9230769230769,0.2076923076923077,11.076923076923077
2025-01-10,-1.5384615384615385,63.53846153846154,-5.6461538461538465,100.0,1002.6153846153846,7.223076923076923,248.46153846153845,-7.938461538461539,-0.36153846153846153,0.0,0.10230769230769231,16.592307692307692,15.238461538461538,249.69230769230768,0.20615384615384616,11.076923076923077
2025-01-11,-2.5153846153846158,74.46153846153847,-7.630769230769231,29.615384615384617,1004.9769230769232,14.930769230769231,304.0,-6.461538461538462,-0.5615384615384615,0.0,0.0,32.2,29.215384615384615,310.15384615384613,0.13076923076923078,11.076923076923077
2025-01-12,-0.8692307692307693,71.3076923076923,-5.123076923076923,56.23076923076923,1012.5307692307692,9.723076923076924,234.30769230769232,-5.392307692307692,-0.23846153846153847,0.0,0.0,17.707692307692305,20.50769230769231,243.46153846153845,0.16615384615384615,11.076923076923077
2025-01-13,-0.9076923076923078,62.15384615384615,-6.107692307692308,0.38461538461538464,1010.3076923076923,15.123076923076923,273.38461538461536,-7.315384615384615,0.06153846153846154,0.0,0.0,30.692307692307693,29.923076923076923,278.3076923076923,0.21538461538461537,11.076923076923077
2025-01-14,-4.607692307692307,45.92307692307692,-10.953846153846154,40.15384615384615,1013.7846153846154,18.984615384615385,287.46153846153845,-14.600000000000001,-0.6,0.0,0.0,40.98461538461538,32.707692307692305,290.15384615384613,0.23769230769230767,11.076923076923077
2025-01-15,-3.776923076923077,58.38461538461539,-8.661538461538461,66.61538461538461,1016.2,10.892307692307693,277.84615384615387,-10.838461538461539,0.26153846153846155,0.0,0.0,23.184615384615384,20.53846153846154,283.0769230769231,0.19461538461538463,11.076923076923077
2025-01-16,-3.1846153846153844,79.23076923076923,-7.638461538461538,55.15384615384615,1006.9846153846154,10.46923076923077,272.84615384615387,-6.300000000000001,-0.3692307692307692,0.0,0.016153846153846154,21.16923076923077,20.53076923076923,276.53846153846155,0.1,11.076923076923077
2025-01-17,-0.4153846153846154,69.53846153846153,-5.046153846153846,53.0,1014.6923076923077,12.423076923076923,193.3846153846154,-5.376923076923077,0.4,0.0,0.0,23.04615384615385,26.423076923076923,198.30769230769232,0.1823076923076923,11.076923076923077
2025-01-18,1.7538461538461538,97.92307692307692,-1.6846153846153844,31.384615384615383,1003.9230769230769,10.615384615384615,280.2307692307692,1.4615384615384615,1.9307692307692308,0.0,0.0,19.93846153846154,23.161538461538463,286.38461538461536,0.014615384615384615,11.076923076923077
