date,state,gapfilled_ntl,ntl_variability,lunar_irradiance,quality_score,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft,day_of_year,month,year,season,peak_speed_missing,peak_altitude_missing
2021-04-04,NJ,13.095202792321125,1.9593321926740108,9.113209614182855,0.998131471785922,8700.0,19800.0,Low activity,-1.0,-1.0,94,4,2021,spring,1,1
2021-04-05,NJ,0.5,0.0,6.852442137688134,0.9998766724840022,12700.0,28100.0,Low activity,-1.0,-1.0,95,4,2021,spring,1,1
2021-04-06,NJ,0.5,0.0,7.4268212530869055,0.9918813263525306,54000.0,81100.0,NE,11.0,1300.0,96,4,2021,spring,0,0
2021-04-07,NJ,0.5,0.0,8.14947954349747,0.9737149505526468,175500.0,195700.0,N,21.0,1800.0,97,4,2021,spring,0,0
2021-04-08,NJ,0.5,0.0,9.025622173572524,0.9962559627690516,118400.0,138900.0,NNE,28.0,1500.0,98,4,2021,spring,0,0
2021-04-09,NJ,0.5,0.0,8.452377484068425,0.99343339150669,14200.0,24400.0,Low activity,-1.0,-1.0,99,4,2021,spring,1,1
2021-04-10,NJ,0.5,0.0,7.935152746624784,0.9874438627108784,140200.0,109400.0,N,19.0,900.0,100,4,2021,spring,0,0
2021-04-11,NJ,0.5,0.0,8.797834882165196,0.9940779522978476,19100.0,43600.0,NNW,15.0,2300.0,101,4,2021,spring,0,0
2021-04-12,NJ,0.5,0.0,7.693600442469807,0.9885933682373472,9300.0,20500.0,Low activity,-1.0,-1.0,102,4,2021,spring,1,1
2021-04-13,NJ,0.5,0.0,8.110569918805611,0.9805072716695752,379200.0,197700.0,NE,27.0,1100.0,103,4,2021,spring,0,0
2021-04-14,NJ,0.5,0.0,7.822705910906299,0.9986806282722512,44100.0,48500.0,NE,20.0,1500.0,104,4,2021,spring,0,0
2021-04-15,NJ,0.5,0.0,8.12151364529371,0.9829947643979058,9700.0,23200.0,Low activity,-1.0,-1.0,105,4,2021,spring,1,1
2021-04-16,NJ,0.5,0.0,6.674845231205473,0.9945107620709714,10400.0,26100.0,Low activity,-1.0,-1.0,106,4,2021,spring,1,1
2021-04-17,NJ,0.5,0.0,7.330968551424278,0.9745596276905176,68300.0,76300.0,ENE,15.0,1300.0,107,4,2021,spring,0,0
2021-04-18,NJ,0.5,0.0,8.689054848272503,0.996127981384526,1761500.0,873400.0,NE,30.0,1100.0,108,4,2021,spring,0,0
2021-04-19,NJ,0.5,0.0,8.642789599564127,0.9935264688772544,763700.0,390200.0,NE,26.0,1200.0,109,4,2021,spring,0,0
2021-04-20,NJ,0.6956188481675393,1.5577325679180622,6.7747252632429324,0.9969633507853404,2214600.0,815500.0,NE,54.0,2400.0,110,4,2021,spring,0,0
2021-04-21,NJ,20.099999999999994,7.105427357601002e-15,6.858507452952439,0.9851122745782432,8700.0,23600.0,Low activity,-1.0,-1.0,111,4,2021,spring,1,1
2021-04-22,NJ,28.86882745782432,0.0775824379951854,7.121504309770852,0.9888516579406632,9300.0,20900.0,Low activity,-1.0,-1.0,112,4,2021,spring,1,1
2021-04-23,NJ,40.99045351948808,0.3909950153865523,8.257479980986025,0.9593694008144268,185900.0,97400.0,NE,35.0,700.0,113,4,2021,spring,0,0
2021-04-24,NJ,56.99819522978476,0.4395501434537023,7.991918854507448,0.9189016870273414,60300.0,125200.0,NNE,22.0,1500.0,114,4,2021,spring,0,0
2021-04-25,NJ,80.22434112856311,0.0429141272378441,8.524015663161562,0.999979057591623,10200.0,23200.0,Low activity,-1.0,-1.0,115,4,2021,spring,1,1
2021-04-26,NJ,112.75437486910994,0.0498082374740489,6.5976694750731495,0.979911576497964,449000.0,532400.0,NE,21.0,1900.0,116,4,2021,spring,0,0
2021-04-27,NJ,157.028863292612,0.0602654534782177,8.126527569943182,0.9522908667830134,6277200.0,2382000.0,NE,41.0,1600.0,117,4,2021,spring,0,0
2021-04-28,NJ,101.41821803374056,0.0385993085518744,8.364732160762719,0.99765445026178,1550800.0,1930200.0,NNE,24.0,1200.0,118,4,2021,spring,0,0
2021-04-29,NJ,71.68398417684703,0.1372761389264839,8.520876193157164,0.9990715532286212,254900.0,438200.0,NE,20.0,1200.0,119,4,2021,spring,0,0
2021-04-30,NJ,49.4,7.105427357601002e-15,8.522494598499886,0.9999045956951716,8300.0,30600.0,Low activity,-1.0,-1.0,120,4,2021,spring,1,1
2021-05-01,NJ,34.19999999999999,1.4210854715202004e-14,7.632138505433359,0.993242582897033,2205700.0,1255400.0,NE,48.0,1000.0,121,5,2021,spring,0,0
