0088997270999992022010100004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00921+99999101551ADDMD1310081+9999SA1+0781REMSYN054ACYN4 46/// ///// 10092 40155 53008 90000 222// 00078=
0088997270999992022010101004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00921+99999101541ADDMD1210041+9999SA1+0771REMSYN054ACYN4 46/// ///// 10092 40154 52004 90100 222// 00077=
0088997270999992022010102004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00931+99999101541ADDMD1110041+9999SA1+0781REMSYN054ACYN4 46/// ///// 10093 40154 51004 90200 222// 00078=
0088997270999992022010103004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00931+99999101511ADDMD1810041+9999SA1+0781REMSYN054ACYN4 46/// ///// 10093 40151 58004 90300 222// 00078=
0088997270999992022010104004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00921+99999101471ADDMD1810071+9999SA1+0781REMSYN054ACYN4 46/// ///// 10092 40147 58007 90400 222// 00078=
0088997270999992022010105004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00941+99999101411ADDMD1810131+9999SA1+0781REMSYN054ACYN4 46/// ///// 10094 40141 58013 90500 222// 00078=
0088997270999992022010106004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00931+99999101341ADDMD1810171+9999SA1+0771REMSYN054ACYN4 46/// ///// 10093 40134 58017 90600 222// 00077=
0088997270999992022010107004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00941+99999101301ADDMD1610171+9999SA1+0781REMSYN054ACYN4 46/// ///// 10094 40130 56017 90700 222// 00078=
0088997270999992022010108004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00941+99999101241ADDMD1610171+9999SA1+0781REMSYN054ACYN4 46/// ///// 10094 40124 56017 90800 222// 00078=
0088997270999992022010109004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00931+99999101171ADDMD1810171+9999SA1+0781REMSYN054ACYN4 46/// ///// 10093 40117 58017 90900 222// 00078=
0088997270999992022010110004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00951+99999101151ADDMD1610151+9999SA1+0781REMSYN054ACYN4 46/// ///// 10095 40115 56015 91000 222// 00078=
0088997270999992022010111004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00951+99999101091ADDMD1610151+9999SA1+0771REMSYN054ACYN4 46/// ///// 10095 40109 56015 91100 222// 00077=
0088997270999992022010112004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00941+99999101071ADDMD1710101+9999SA1+0781REMSYN054ACYN4 46/// ///// 10094 40107 57010 91200 222// 00078=
0088997270999992022010113004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00931+99999101161ADDMD1510001+9999SA1+0781REMSYN054ACYN4 46/// ///// 10093 40116 55000 91300 222// 00078=
