0185725165947372021010113567+43533-072950FM-15+0240KRUT V0209999C000052200059N0160935N5-00335-00615103315ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1103285100395REMMET10101/01/21 08:56:02 METAR KRUT 011356Z 00000KT 10SM CLR M03/M06 A3050 RMK AO2 SLP331 T10331061 FZRANO $
0205725165947372021010114567+43533-072950FM-15+0240KRUT V0200505N001552200059N0160935N5-00225-00615103345ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1103285100395MD1390089+9999REMMET10701/01/21 09:56:02 METAR KRUT 011456Z 05003KT 10SM CLR M02/M06 A3050 RMK AO2 SLP334 T10221061 53008 FZRANO $
0185725165947372021010115567+43533-072950FM-15+0240KRUT V0209999C000052200059N0160935N5-00115-00675103185ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1103155100265REMMET10101/01/21 10:56:02 METAR KRUT 011556Z 00000KT 10SM CLR M01/M07 A3046 RMK AO2 SLP318 T10111067 FZRANO $
0185725165947372021010116567+43533-072950FM-15+0240KRUT V0200705N001552200059N0160935N5-00065-00675103095ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1103055100165REMMET10101/01/21 11:56:02 METAR KRUT 011656Z 07003KT 10SM CLR M01/M07 A3043 RMK AO2 SLP309 T10061067 FZRANO $
0243725165947372021010117567+43533-072950FM-15+0240KRUT V0203605N002152200059N0160935N5-00065-00675103025ADDGA1005+999999999GD10991+9999999GF100991999999999999999999KA1060M-00061KA2060N-00441MA1102985100095MD1690319+9999REMMET11901/01/21 12:56:02 METAR KRUT 011756Z 36004KT 10SM CLR M01/M07 A3041 RMK AO2 SLP302 T10061067 11006 21044 56031 FZRANO $
0185725165947372021010118567+43533-072950FM-15+0240KRUT V0209999C000052200059N0160935N5-00065-00675102925ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1102885099995REMMET10101/01/21 13:56:02 METAR KRUT 011856Z 00000KT 10SM CLR M01/M07 A3038 RMK AO2 SLP292 T10061067 FZRANO $
0185725165947372021010119567+43533-072950FM-15+0240KRUT V0203305N002152200059N0160935N5-00115-00675102925ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1102885099995REMMET10101/01/21 14:56:02 METAR KRUT 011956Z 33004KT 10SM CLR M01/M07 A3038 RMK AO2 SLP292 T10111067 FZRANO $
0205725165947372021010120567+43533-072950FM-15+0240KRUT V0200105N002152200059N0160935N5-00115-00615102845ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1102815099925MD1690189+9999REMMET10701/01/21 15:56:02 METAR KRUT 012056Z 01004KT 10SM CLR M01/M06 A3036 RMK AO2 SLP284 T10111061 56018 FZRANO $
0185725165947372021010121567+43533-072950FM-15+0240KRUT V0203305N001552200059N0160935N5-00175-00615102745ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1102715099835REMMET10101/01/21 16:56:02 METAR KRUT 012156Z 33003KT 10SM CLR M02/M06 A3033 RMK AO2 SLP274 T10171061 FZRANO $
0185725165947372021010122567+43533-072950FM-15+0240KRUT V0203205N001552200059N0160935N5-00225-00615102655ADDGA1005+999999999GD10991+9999999GF100991999999999999999999MA1102615099735REMMET10101/01/21 17:56:02 METAR KRUT 012256Z 32003KT 10SM CLR M02/M06 A3030 RMK AO2 SLP265 T10221061 FZRANO $
0268725165947372021010123567+43533-072950FM-15+0240KRUT V0203005N00155033535MN0160935N5-00225-00615102585ADDGA1075+033535999GD13991+0335359GE19MSL   +99999+99999GF199999999999033531999999KA1060M-00061KA2060N-00221MA1102545099665MD1690269+9999REMMET12201/01/21 18:56:02 METAR KRUT 012356Z 30003KT 10SM BKN110 M02/M06 A3028 RMK AO2 SLP258 T10221061 11006 21022 56026 FZRANO $
0248725165947372021010200567+43533-072950FM-15+0240KRUT V0202205N00155027435MN0160935N5-00115-00565102615ADDGA1075+027435999GA2085+033535999GD13991+0274359GD24991+0335359GE19MSL   +99999+99999GF199999999999027431999999MA1102575099695REMMET11101/01/21 19:56:01 METAR KRUT 020056Z 22003KT 10SM BKN090 OVC110 M01/M06 A3029 RMK AO2 SLP261 T10111056 FZRANO $
