0108997743999992025010100004+40650-074067FM-13+007299999V0201001N008819999999N999999999+00931+99999100561ADDMD1810361+9999OD159900981999REMSYN068ROBN4 46/// /1017 10093 40056 58036 90000 333 91219 555 11015 22016=
0108997743999992025010101004+40650-074067FM-13+007299999V0200701N005719999999N999999999+00961+99999100411ADDMD1810461+9999OD159900621999REMSYN068ROBN4 46/// /0711 10096 40041 58046 90100 333 91212 555 11010 22011=
0108997743999992025010102004+40650-074067FM-13+007299999V0200801N007719999999N999999999+00941+99999100211ADDMD1610581+9999OD159901081999REMSYN068ROBN4 46/// /0815 10094 40021 56058 90200 333 91221 555 11014 22015=
0108997743999992025010103004+40650-074067FM-13+007299999V0200201N003119999999N999999999+00791+99999100141ADDMD1610421+9999OD159900461999REMSYN068ROBN4 46/// /0206 10079 40014 56042 90300 333 91209 555 11005 22006=
0108997743999992025010104004+40650-074067FM-13+007299999V0200801N005719999999N999999999+00861+99999099911ADDMD1810501+9999OD159900721999REMSYN068ROBN4 46/// /0811 10086 49991 58050 90400 333 91214 555 11010 22011=
0108997743999992025010105004+40650-074067FM-13+007299999V0200901N005719999999N999999999+00881+99999099821ADDMD1810391+9999OD159900721999REMSYN068ROBN4 46/// /0911 10088 49982 58039 90500 333 91214 555 11010 22011=
0108997743999992025010106004+40650-074067FM-13+007299999V0201301N002619999999N999999999+00951+99999099771ADDMD1610371+9999OD159900311999REMSYN068ROBN4 46/// /1305 10095 49977 56037 90600 333 91206 555 11005 22005=
0108997743999992025010107004+40650-074067FM-13+007299999V0209999C000019999999N999999999+00891+99999099801ADDMD1510111+9999OD159900051999REMSYN068ROBN4 46/// /0000 10089 49980 55011 90700 333 91201 555 11000 22000=
0108997743999992025010108004+40650-074067FM-13+007299999V0201701N003619999999N999999999+00861+99999099851ADDMD1310031+9999OD159900461999REMSYN068ROBN4 46/// /1707 10086 49985 53003 90800 333 91209 555 11007 22007=
0108997743999992025010109004+40650-074067FM-13+007299999V0202601N005119999999N999999999+00841+99999099821ADDMD1990051+9999OD159900621999REMSYN068ROBN4 46/// /2610 10084 49982 50005 90900 333 91212 555 11009 22010=
