0128997779999992023010203004+39300-075367FM-13+000399999V0201501N003619999999N999999999+00531+99999101801ADDMD1110091+9999OD159900411999SA1+0341REMSYN080SJSN4 46/// /1507 10053 40180 51009 90300 222// 00034 333 91208 555 11007 22008=
0108997779999992023010204004+39300-075367FM-13+000399999V0201701N005119999999N999999999+00541+99999101761ADDMD1990001+9999OD159900511999REMSYN068SJSN4 46/// /1710 10054 40176 50000 90400 333 91210 555 11009 22010=
0128997779999992023010205004+39300-075367FM-13+000399999V0202001N002619999999N999999999+00671+99999101771ADDMD1710041+9999OD159900261999SA1+0341REMSYN080SJSN4 46/// /2005 10067 40177 57004 90500 222// 00034 333 91205 555 11005 22005=
0128997779999992023010206004+39300-075367FM-13+000399999V0203101N001519999999N999999999+00591+99999101771ADDMD1610031+9999OD159900151999SA1+0341REMSYN080SJSN4 46/// /3103 10059 40177 56003 90600 222// 00034 333 91203 555 11003 22003=
0128997779999992023010207004+39300-075367FM-13+000399999V0202701N002119999999N999999999+00691+99999101831ADDMD1310071+9999OD159900261999SA1+0341REMSYN080SJSN4 46/// /2704 10069 40183 53007 90700 222// 00034 333 91205 555 11004 22004=
0128997779999992023010208004+39300-075367FM-13+000399999V0203401N000519999999N999999999+00581+99999101861ADDMD1310091+9999OD159900101999SA1+0331REMSYN080SJSN4 46/// /3401 10058 40186 53009 90800 222// 00033 333 91202 555 11001 22001=
0128997779999992023010209004+39300-075367FM-13+000399999V0203101N001019999999N999999999+00521+99999101871ADDMD1110101+9999OD159900101999SA1+0341REMSYN080SJSN4 46/// /3102 10052 40187 51010 90900 222// 00034 333 91202 555 11002 22002=
0128997779999992023010210004+39300-075367FM-13+000399999V0203501N003619999999N999999999+00571+99999101941ADDMD1310111+9999OD159900361999SA1+0341REMSYN080SJSN4 46/// /3507 10057 40194 53011 91000 222// 00034 333 91207 555 11007 22007=
0128997779999992023010211004+39300-075367FM-13+000399999V0203301N002619999999N999999999+00611+99999101951ADDMD1210091+9999OD159900261999SA1+0341REMSYN080SJSN4 46/// /3305 10061 40195 52009 91100 222// 00034 333 91205 555 11004 22005=
0128997779999992023010212004+39300-075367FM-13+000399999V0203001N000519999999N999999999+00461+99999102041ADDMD1310171+9999OD159900211999SA1+0341REMSYN080SJSN4 46/// /3001 10046 40204 53017 91200 222// 00034 333 91204 555 11001 22001=
0128997779999992023010213004+39300-075367FM-13+000399999V0201801N001019999999N999999999+00451+99999102121ADDMD1310181+9999OD159900101999SA1+0341REMSYN080SJSN4 46/// /1802 10045 40212 53018 91300 222// 00034 333 91202 555 11002 22002=
0128997779999992023010214004+39300-075367FM-13+000399999V0201401N002619999999N999999999+00621+99999102131ADDMD1110181+9999OD159900311999SA1+0341REMSYN080SJSN4 46/// /1405 10062 40213 51018 91400 222// 00034 333 91206 555 11005 22005=
0128997779999992023010215004+39300-075367FM-13+000399999V0201601N002619999999N999999999+00561+99999102171ADDMD1110131+9999OD159900261999SA1+0341REMSYN080SJSN4 46/// /1605 10056 40217 51013 91500 222// 00034 333 91205 555 11005 22005=
0128997779999992023010216004+39300-075367FM-13+000399999V0201301N003119999999N999999999+00561+99999102131ADDMD1990001+9999OD159900311999SA1+0341REMSYN080SJSN4 46/// /1306 10056 40213 50000 91600 222// 00034 333 91206 555 11006 22006=
0128997779999992023010217004+39300-075367FM-13+000399999V0201701N004119999999N999999999+00651+99999102091ADDMD1810041+9999OD159900461999SA1+0351REMSYN080SJSN4 46/// /1708 10065 40209 58004 91700 222// 00035 333 91209 555 11008 22009=
0128997779999992023010218004+39300-075367FM-13+000399999V0201501N004619999999N999999999+00731+99999102041ADDMD1810131+9999OD159900461999SA1+0361REMSYN080SJSN4 46/// /1509 10073 40204 58013 91800 222// 00036 333 91209 555 11009 22009=
0128997779999992023010219004+39300-075367FM-13+000399999V0201401N005119999999N999999999+00671+99999102011ADDMD1610121+9999OD159900571999SA1+0361REMSYN080SJSN4 46/// /1410 10067 40201 56012 91900 222// 00036 333 91211 555 11010 22011=
0128997779999992023010220004+39300-075367FM-13+000399999V0201201N006219999999N999999999+00731+99999101981ADDMD1610111+9999OD159900721999SA1+0401REMSYN080SJSN4 46/// /1212 10073 40198 56011 92000 222// 00040 333 91214 555 11012 22013=
0128997779999992023010221004+39300-075367FM-13+000399999V0201301N006719999999N999999999+00711+99999101951ADDMD1710091+9999OD159900671999SA1+0371REMSYN080SJSN4 46/// /1313 10071 40195 57009 92100 222// 00037 333 91213 555 11013 22014=
0128997779999992023010222004+39300-075367FM-13+000399999V0201301N005719999999N999999999+00641+99999101971ADDMD1610041+9999OD159900571999SA1+0371REMSYN080SJSN4 46/// /1311 10064 40197 56004 92200 222// 00037 333 91211 555 11010 22011=
0128997779999992023010223004+39300-075367FM-13+000399999V0201301N006219999999N999999999+00691+99999102011ADDMD1310031+9999OD159900671999SA1+0371REMSYN080SJSN4 46/// /1312 10069 40201 53003 92300 222// 00037 333 91213 555 11011 22012=
0128997779999992023010300004+39300-075367FM-13+000399999V0201401N003619999999N999999999+00601+99999102061ADDMD1310111+9999OD159900411999SA1+0361REMSYN080SJSN4 46/// /1407 10060 40206 53011 90000 222// 00036 333 91208 555 11007 22007=
0128997779999992023010301004+39300-075367FM-13+000399999V0201501N003119999999N999999999+00561+99999102061ADDMD1110091+9999OD159900411999SA1+0361REMSYN080SJSN4 46/// /1506 10056 40206 51009 90100 222// 00036 333 91208 555 11006 22007=
0128997779999992023010302004+39300-075367FM-13+000399999V0201701N004619999999N999999999+00721+99999102051ADDMD1110041+9999OD159900461999SA1+0361REMSYN080SJSN4 46/// /1709 10072 40205 51004 90200 222// 00036 333 91209 555 11008 22009=
0128997779999992023010303004+39300-075367FM-13+000399999V0201501N005719999999N999999999+00761+99999102011ADDMD1810051+9999OD159900621999SA1+0361REMSYN080SJSN4 46/// /1511 10076 40201 58005 90300 222// 00036 333 91212 555 11011 22012=
0128997779999992023010304004+39300-075367FM-13+000399999V0201601N006219999999N999999999+00721+99999102011ADDMD1710051+9999OD159900671999SA1+0361REMSYN080SJSN4 46/// /1612 10072 40201 57005 90400 222// 00036 333 91213 555 11012 22013=
0128997779999992023010305004+39300-075367FM-13+000399999V0201401N004619999999N999999999+00651+99999101931ADDMD1810121+9999OD159900511999SA1+0361REMSYN080SJSN4 46/// /1409 10065 40193 58012 90500 222// 00036 333 91210 555 11009 22009=
0128997779999992023010306004+39300-075367FM-13+000399999V0201301N004619999999N999999999+00601+99999101901ADDMD1810111+9999OD159900461999SA1+0371REMSYN080SJSN4 46/// /1309 10060 40190 58011 90600 222// 00037 333 91209 555 11008 22009=
0128997779999992023010307004+39300-075367FM-13+000399999V0201401N005719999999N999999999+00581+99999101901ADDMD1610111+9999OD159900571999SA1+0371REMSYN080SJSN4 46/// /1411 10058 40190 56011 90700 222// 00037 333 91211 555 11011 22012=
0128997779999992023010308004+39300-075367FM-13+000399999V0201401N005719999999N999999999+00551+99999101891ADDMD1610041+9999OD159900621999SA1+0381REMSYN080SJSN4 46/// /1411 10055 40189 56004 90800 222// 00038 333 91212 555 11010 22011=
0128997779999992023010309004+39300-075367FM-13+000399999V0201401N006219999999N999999999+00611+99999101851ADDMD1810051+9999OD159900621999SA1+0371REMSYN080SJSN4 46/// /1412 10061 40185 58005 90900 222// 00037 333 91212 555 11011 22012=
0128997779999992023010310004+39300-075367FM-13+000399999V0201201N006719999999N999999999+00571+99999101791ADDMD1810111+9999OD159900671999SA1+0371REMSYN080SJSN4 46/// /1213 10057 40179 58011 91000 222// 00037 333 91213 555 11012 22013=
0128997779999992023010311004+39300-075367FM-13+000399999V0201201N007219999999N999999999+00571+99999101721ADDMD1810171+9999OD159900721999SA1+0361REMSYN080SJSN4 46/// /1214 10057 40172 58017 91100 222// 00036 333 91214 555 11013 22014=
0128997779999992023010312004+39300-075367FM-13+000399999V0201301N007219999999N999999999+00601+99999101691ADDMD1610161+9999OD159900771999SA1+0371REMSYN080SJSN4 46/// /1314 10060 40169 56016 91200 222// 00037 333 91215 555 11014 22015=
0128997779999992023010313004+39300-075367FM-13+000399999V0201401N007719999999N999999999+00611+99999101651ADDMD1610141+9999OD159900771999SA1+0371REMSYN080SJSN4 46/// /1415 10061 40165 56014 91300 222// 00037 333 91215 555 11014 22015=
0128997779999992023010314004+39300-075367FM-13+000399999V0201301N007219999999N999999999+00591+99999101601ADDMD1810121+9999OD159900721999SA1+0371REMSYN080SJSN4 46/// /1314 10059 40160 58012 91400 222// 00037 333 91214 555 11013 22014=
0128997779999992023010315004+39300-075367FM-13+000399999V0201401N005719999999N999999999+00641+99999101621ADDMD1610071+9999OD159900571999SA1+0371REMSYN080SJSN4 46/// /1411 10064 40162 56007 91500 222// 00037 333 91211 555 11010 22011=
