0088997270999992023010208004+39350-074420FM-13+001099999V02099999999999999999N999999999+00931+99999101781ADDMD1310051+9999SA1+0591REMSYN054ACYN4 46/// ///// 10093 40178 53005 90800 222// 00059=
0088997270999992023010209004+39350-074420FM-13+001099999V02099999999999999999N999999999+00881+99999101801ADDMD1210091+9999SA1+0591REMSYN054ACYN4 46/// ///// 10088 40180 52009 90900 222// 00059=
0088997270999992023010210004+39350-074420FM-13+001099999V02099999999999999999N999999999+00891+99999101871ADDMD1210161+9999SA1+0591REMSYN054ACYN4 46/// ///// 10089 40187 52016 91000 222// 00059=
0088997270999992023010211004+39350-074420FM-13+001099999V02099999999999999999N999999999+00901+99999101881ADDMD1210101+9999SA1+0591REMSYN054ACYN4 46/// ///// 10090 40188 52010 91100 222// 00059=
0088997270999992023010212004+39350-074420FM-13+001099999V02099999999999999999N999999999+00751+99999101941ADDMD1110141+9999SA1+0591REMSYN054ACYN4 46/// ///// 10075 40194 51014 91200 222// 00059=
0088997270999992023010213004+39350-074420FM-13+001099999V02099999999999999999N999999999+00761+99999102041ADDMD1310171+9999SA1+0591REMSYN054ACYN4 46/// ///// 10076 40204 53017 91300 222// 00059=
0088997270999992023010214004+39350-074420FM-13+001099999V02099999999999999999N999999999+00881+99999102091ADDMD1110211+9999SA1+0591REMSYN054ACYN4 46/// ///// 10088 40209 51021 91400 222// 00059=
0088997270999992023010215004+39350-074420FM-13+001099999V02099999999999999999N999999999+00891+99999102121ADDMD1110181+9999SA1+0591REMSYN054ACYN4 46/// ///// 10089 40212 51018 91500 222// 00059=
0088997270999992023010216004+39350-074420FM-13+001099999V02099999999999999999N999999999+01011+99999102101ADDMD1110061+9999SA1+0601REMSYN054ACYN4 46/// ///// 10101 40210 51006 91600 222// 00060=
0088997270999992023010217004+39350-074420FM-13+001099999V02099999999999999999N999999999+01041+99999102011ADDMD1810081+9999SA1+0611REMSYN054ACYN4 46/// ///// 10104 40201 58008 91700 222// 00061=
0088997270999992023010218004+39350-074420FM-13+001099999V02099999999999999999N999999999+01051+99999101981ADDMD1810141+9999SA1+0621REMSYN054ACYN4 46/// ///// 10105 40198 58014 91800 222// 00062=
0088997270999992023010219004+39350-074420FM-13+001099999V02099999999999999999N999999999+00991+99999101991ADDMD1610111+9999SA1+0591REMSYN054ACYN4 46/// ///// 10099 40199 56011 91900 222// 00059=
0088997270999992023010220004+39350-074420FM-13+001099999V02099999999999999999N999999999+01041+99999102001ADDMD1510001+9999SA1+0601REMSYN054ACYN4 46/// ///// 10104 40200 55000 92000 222// 00060=
0088997270999992023010221004+39350-074420FM-13+001099999V02099999999999999999N999999999+01011+99999101971ADDMD1990001+9999SA1+0601REMSYN054ACYN4 46/// ///// 10101 40197 50000 92100 222// 00060=
0088997270999992023010222004+39350-074420FM-13+001099999V02099999999999999999N999999999+01021+99999101991ADDMD1410001+9999SA1+0601REMSYN054ACYN4 46/// ///// 10102 40199 54000 92200 222// 00060=
0088997270999992023010223004+39350-074420FM-13+001099999V02099999999999999999N999999999+00901+99999102011ADDMD1510001+9999SA1+0611REMSYN054ACYN4 46/// ///// 10090 40201 55000 92300 222// 00061=
0088997270999992023010300004+39350-074420FM-13+001099999V02099999999999999999N999999999+00811+99999102051ADDMD1310081+9999SA1+0651REMSYN054ACYN4 46/// ///// 10081 40205 53008 90000 222// 00065=
0088997270999992023010301004+39350-074420FM-13+001099999V02099999999999999999N999999999+00851+99999102061ADDMD1210071+9999SA1+0621REMSYN054ACYN4 46/// ///// 10085 40206 52007 90100 222// 00062=
0088997270999992023010302004+39350-074420FM-13+001099999V02099999999999999999N999999999+00871+99999102081ADDMD1110071+9999SA1+0601REMSYN054ACYN4 46/// ///// 10087 40208 51007 90200 222// 00060=
0088997270999992023010303004+39350-074420FM-13+001099999V02099999999999999999N999999999+00851+99999102051ADDMD1990001+9999SA1+0631REMSYN054ACYN4 46/// ///// 10085 40205 50000 90300 222// 00063=
0088997270999992023010304004+39350-074420FM-13+001099999V02099999999999999999N999999999+00841+99999102031ADDMD1710031+9999SA1+0601REMSYN054ACYN4 46/// ///// 10084 40203 57003 90400 222// 00060=
0088997270999992023010305004+39350-074420FM-13+001099999V02099999999999999999N999999999+00821+99999101971ADDMD1810111+9999SA1+0601REMSYN054ACYN4 46/// ///// 10082 40197 58011 90500 222// 00060=
0088997270999992023010306004+39350-074420FM-13+001099999V02099999999999999999N999999999+00841+99999101961ADDMD1710091+9999SA1+0621REMSYN054ACYN4 46/// ///// 10084 40196 57009 90600 222// 00062=
0088997270999992023010307004+39350-074420FM-13+001099999V02099999999999999999N999999999+00831+99999101931ADDMD1610101+9999SA1+0601REMSYN054ACYN4 46/// ///// 10083 40193 56010 90700 222// 00060=
0088997270999992023010308004+39350-074420FM-13+001099999V02099999999999999999N999999999+00841+99999101921ADDMD1710051+9999SA1+0611REMSYN054ACYN4 46/// ///// 10084 40192 57005 90800 222// 00061=
0088997270999992023010309004+39350-074420FM-13+001099999V02099999999999999999N999999999+00841+99999101851ADDMD1810111+9999SA1+0611REMSYN054ACYN4 46/// ///// 10084 40185 58011 90900 222// 00061=
0088997270999992023010310004+39350-074420FM-13+001099999V02099999999999999999N999999999+00861+99999101821ADDMD1810111+9999SA1+0611REMSYN054ACYN4 46/// ///// 10086 40182 58011 91000 222// 00061=
0088997270999992023010311004+39350-074420FM-13+001099999V02099999999999999999N999999999+00811+99999101801ADDMD1610121+9999SA1+0621REMSYN054ACYN4 46/// ///// 10081 40180 56012 91100 222// 00062=
0088997270999992023010312004+39350-074420FM-13+001099999V02099999999999999999N999999999+00791+99999101691ADDMD1810161+9999SA1+0611REMSYN054ACYN4 46/// ///// 10079 40169 58016 91200 222// 00061=
0088997270999992023010313004+39350-074420FM-13+001099999V02099999999999999999N999999999+00791+99999101681ADDMD1710141+9999SA1+0611REMSYN054ACYN4 46/// ///// 10079 40168 57014 91300 222// 00061=
0068997270999992023010314004+39350-074420FM-13+001099999V02099999999999999999N999999999+00891+99999101681ADDSA1+0621REMSYN048ACYN4 46/// ///// 10089 40168 91342 222// 00062=
0088997270999992023010315004+39350-074420FM-13+001099999V02099999999999999999N999999999+00911+99999101591ADDMD1810101+9999SA1+0641REMSYN054ACYN4 46/// ///// 10091 40159 58010 91500 222// 00064=
0088997270999992023010316004+39350-074420FM-13+001099999V02099999999999999999N999999999+00881+99999101591ADDMD1710091+9999SA1+0641REMSYN054ACYN4 46/// ///// 10088 40159 57009 91600 222// 00064=
0088997270999992023010317004+39350-074420FM-13+001099999V02099999999999999999N999999999+00851+99999101491ADDMD1810181+9999SA1+0661REMSYN054ACYN4 46/// ///// 10085 40149 58018 91700 222// 00066=
0088997270999992023010318004+39350-074420FM-13+001099999V02099999999999999999N999999999+00881+99999101431ADDMD1810161+9999SA1+0661REMSYN054ACYN4 46/// ///// 10088 40143 58016 91800 222// 00066=
0088997270999992023010319004+39350-074420FM-13+001099999V02099999999999999999N999999999+00861+99999101311ADDMD1810281+9999SA1+0671REMSYN054ACYN4 46/// ///// 10086 40131 58028 91900 222// 00067=
0088997270999992023010320004+39350-074420FM-13+001099999V02099999999999999999N999999999+00921+99999101161ADDMD1810331+9999SA1+0691REMSYN054ACYN4 46/// ///// 10092 40116 58033 92000 222// 00069=
0088997270999992023010321004+39350-074420FM-13+001099999V02099999999999999999N999999999+00941+99999101151ADDMD1610281+9999SA1+0711REMSYN054ACYN4 46/// ///// 10094 40115 56028 92100 222// 00071=
0088997270999992023010322004+39350-074420FM-13+001099999V02099999999999999999N999999999+00891+99999101111ADDMD1610201+9999SA1+0711REMSYN054ACYN4 46/// ///// 10089 40111 56020 92200 222// 00071=
0088997270999992023010323004+39350-074420FM-13+001099999V02099999999999999999N999999999+00871+99999101121ADDMD1710041+9999SA1+0701REMSYN054ACYN4 46/// ///// 10087 40112 57004 92300 222// 00070=
0088997270999992023010400004+39350-074420FM-13+001099999V02099999999999999999N999999999+00891+99999101111ADDMD1610041+9999SA1+0701REMSYN054ACYN4 46/// ///// 10089 40111 56004 90000 222// 00070=
0088997270999992023010401004+39350-074420FM-13+001099999V02099999999999999999N999999999+00901+99999101111ADDMD1410001+9999SA1+0691REMSYN054ACYN4 46/// ///// 10090 40111 54000 90100 222// 00069=
0088997270999992023010402004+39350-074420FM-13+001099999V02099999999999999999N999999999+00941+99999101081ADDMD1810041+9999SA1+0681REMSYN054ACYN4 46/// ///// 10094 40108 58004 90200 222// 00068=
0088997270999992023010403004+39350-074420FM-13+001099999V02099999999999999999N999999999+00881+99999101061ADDMD1710051+9999SA1+0671REMSYN054ACYN4 46/// ///// 10088 40106 57005 90300 222// 00067=
0088997270999992023010404004+39350-074420FM-13+001099999V02099999999999999999N999999999+00921+99999100951ADDMD1810161+9999SA1+0661REMSYN054ACYN4 46/// ///// 10092 40095 58016 90400 222// 00066=
0088997270999992023010405004+39350-074420FM-13+001099999V02099999999999999999N999999999+00871+99999100901ADDMD1810181+9999SA1+0661REMSYN054ACYN4 46/// ///// 10087 40090 58018 90500 222// 00066=
0088997270999992023010406004+39350-074420FM-13+001099999V02099999999999999999N999999999+00901+99999100921ADDMD1610141+9999SA1+0651REMSYN054ACYN4 46/// ///// 10090 40092 56014 90600 222// 00065=
0088997270999992023010407004+39350-074420FM-13+001099999V02099999999999999999N999999999+00891+99999101001ADDMD1310051+9999SA1+0651REMSYN054ACYN4 46/// ///// 10089 40100 53005 90700 222// 00065=
0088997270999992023010408004+39350-074420FM-13+001099999V02099999999999999999N999999999+00851+99999101031ADDMD1310131+9999SA1+0641REMSYN054ACYN4 46/// ///// 10085 40103 53013 90800 222// 00064=
0088997270999992023010409004+39350-074420FM-13+001099999V02099999999999999999N999999999+00941+99999101041ADDMD1110121+9999SA1+0641REMSYN054ACYN4 46/// ///// 10094 40104 51012 90900 222// 00064=
0088997270999992023010410004+39350-074420FM-13+001099999V02099999999999999999N999999999+01121+99999101081ADDMD1310081+9999SA1+0641REMSYN054ACYN4 46/// ///// 10112 40108 53008 91000 222// 00064=
0088997270999992023010411004+39350-074420FM-13+001099999V02099999999999999999N999999999+01201+99999101121ADDMD1310091+9999SA1+0641REMSYN054ACYN4 46/// ///// 10120 40112 53009 91100 222// 00064=
0088997270999992023010412004+39350-074420FM-13+001099999V02099999999999999999N999999999+00991+99999101211ADDMD1310171+9999SA1+0651REMSYN054ACYN4 46/// ///// 10099 40121 53017 91200 222// 00065=
0088997270999992023010413004+39350-074420FM-13+001099999V02099999999999999999N999999999+00991+99999101241ADDMD1110161+9999SA1+0641REMSYN054ACYN4 46/// ///// 10099 40124 51016 91300 222// 00064=
0088997270999992023010414004+39350-074420FM-13+001099999V02099999999999999999N999999999+01001+99999101291ADDMD1110171+9999SA1+0651REMSYN054ACYN4 46/// ///// 10100 40129 51017 91400 222// 00065=
0088997270999992023010415004+39350-074420FM-13+001099999V02099999999999999999N999999999+01241+99999101321ADDMD1210111+9999SA1+0661REMSYN054ACYN4 46/// ///// 10124 40132 52011 91500 222// 00066=
0088997270999992023010416004+39350-074420FM-13+001099999V02099999999999999999N999999999+01241+99999101311ADDMD1110071+9999SA1+0661REMSYN054ACYN4 46/// ///// 10124 40131 51007 91600 222// 00066=
0088997270999992023010417004+39350-074420FM-13+001099999V02099999999999999999N999999999+01121+99999101201ADDMD1810091+9999SA1+0661REMSYN054ACYN4 46/// ///// 10112 40120 58009 91700 222// 00066=
0088997270999992023010418004+39350-074420FM-13+001099999V02099999999999999999N999999999+01111+99999101101ADDMD1810221+9999SA1+0661REMSYN054ACYN4 46/// ///// 10111 40110 58022 91800 222// 00066=
0088997270999992023010419004+39350-074420FM-13+001099999V02099999999999999999N999999999+01061+99999101071ADDMD1610241+9999SA1+0661REMSYN054ACYN4 46/// ///// 10106 40107 56024 91900 222// 00066=
0068997270999992023010420004+39350-074420FM-13+001099999V02099999999999999999N999999999+01021+99999101071ADDSA1+0661REMSYN048ACYN4 46/// ///// 10102 40107 91942 222// 00066=
0088997270999992023010421004+39350-074420FM-13+001099999V02099999999999999999N999999999+00951+99999101061ADDMD1610041+9999SA1+0641REMSYN054ACYN4 46/// ///// 10095 40106 56004 92100 222// 00064=
0088997270999992023010422004+39350-074420FM-13+001099999V02099999999999999999N999999999+00961+99999100991ADDMD1810081+9999SA1+0651REMSYN054ACYN4 46/// ///// 10096 40099 58008 92200 222// 00065=
0068997270999992023010423004+39350-074420FM-13+001099999V02099999999999999999N999999999+01011+99999100911ADDSA1+0651REMSYN048ACYN4 46/// ///// 10101 40091 92242 222// 00065=
0088997270999992023010500004+39350-074420FM-13+001099999V02099999999999999999N999999999+01221+99999100971ADDMD1610091+9999SA1+0671REMSYN054ACYN4 46/// ///// 10122 40097 56009 90000 222// 00067=
0088997270999992023010501004+39350-074420FM-13+001099999V02099999999999999999N999999999+01121+99999100841ADDMD1810151+9999SA1+0671REMSYN054ACYN4 46/// ///// 10112 40084 58015 90100 222// 00067=
0088997270999992023010502004+39350-074420FM-13+001099999V02099999999999999999N999999999+01031+99999100921ADDMD1510031+9999SA1+0661REMSYN054ACYN4 46/// ///// 10103 40092 55003 90200 222// 00066=
0068997270999992023010503004+39350-074420FM-13+001099999V02099999999999999999N999999999+00981+99999100891ADDSA1+0661REMSYN048ACYN4 46/// ///// 10098 40089 90248 222// 00066=
0088997270999992023010504004+39350-074420FM-13+001099999V02099999999999999999N999999999+00911+99999100931ADDMD1110091+9999SA1+0651REMSYN054ACYN4 46/// ///// 10091 40093 51009 90400 222// 00065=
0088997270999992023010505004+39350-074420FM-13+001099999V02099999999999999999N999999999+00881+99999100981ADDMD1310061+9999SA1+0641REMSYN054ACYN4 46/// ///// 10088 40098 53006 90500 222// 00064=
0088997270999992023010506004+39350-074420FM-13+001099999V02099999999999999999N999999999+00961+99999101011ADDMD1310101+9999SA1+0651REMSYN054ACYN4 46/// ///// 10096 40101 53010 90600 222// 00065=
0088997270999992023010507004+39350-074420FM-13+001099999V02099999999999999999N999999999+00971+99999101101ADDMD1310171+9999SA1+0651REMSYN054ACYN4 46/// ///// 10097 40110 53017 90700 222// 00065=
0088997270999992023010508004+39350-074420FM-13+001099999V02099999999999999999N999999999+00931+99999101171ADDMD1310191+9999SA1+0671REMSYN054ACYN4 46/// ///// 10093 40117 53019 90800 222// 00067=
0088997270999992023010509004+39350-074420FM-13+001099999V02099999999999999999N999999999+00971+99999101201ADDMD1110191+9999SA1+0671REMSYN054ACYN4 46/// ///// 10097 40120 51019 90900 222// 00067=
0088997270999992023010510004+39350-074420FM-13+001099999V02099999999999999999N999999999+00871+99999101241ADDMD1110141+9999SA1+0671REMSYN054ACYN4 46/// ///// 10087 40124 51014 91000 222// 00067=
0088997270999992023010511004+39350-074420FM-13+001099999V02099999999999999999N999999999+00881+99999101251ADDMD1110081+9999SA1+0661REMSYN054ACYN4 46/// ///// 10088 40125 51008 91100 222// 00066=
0088997270999992023010512004+39350-074420FM-13+001099999V02099999999999999999N999999999+01251+99999101301ADDMD1310101+9999SA1+0661REMSYN054ACYN4 46/// ///// 10125 40130 53010 91200 222// 00066=
0088997270999992023010513004+39350-074420FM-13+001099999V02099999999999999999N999999999+01231+99999101361ADDMD1310121+9999SA1+0671REMSYN054ACYN4 46/// ///// 10123 40136 53012 91300 222// 00067=
0088997270999992023010514004+39350-074420FM-13+001099999V02099999999999999999N999999999+01201+99999101411ADDMD1210161+9999SA1+0671REMSYN054ACYN4 46/// ///// 10120 40141 52016 91400 222// 00067=
0088997270999992023010515004+39350-074420FM-13+001099999V02099999999999999999N999999999+01461+99999101441ADDMD1110141+9999SA1+0681REMSYN054ACYN4 46/// ///// 10146 40144 51014 91500 222// 00068=
0088997270999992023010516004+39350-074420FM-13+001099999V02099999999999999999N999999999+01481+99999101401ADDMD1990041+9999SA1+0691REMSYN054ACYN4 46/// ///// 10148 40140 50004 91600 222// 00069=
0088997270999992023010517004+39350-074420FM-13+001099999V02099999999999999999N999999999+01541+99999101351ADDMD1810061+9999SA1+0701REMSYN054ACYN4 46/// ///// 10154 40135 58006 91700 222// 00070=
0088997270999992023010518004+39350-074420FM-13+001099999V02099999999999999999N999999999+99999+99999101341ADDMD1610101+9999SA1+0681REMSYN054ACYN4 46/// ///// 1//// 40134 56010 91800 222// 00068=
0088997270999992023010519004+39350-074420FM-13+001099999V02099999999999999999N999999999+99999+99999101271ADDMD1810131+9999SA1+0691REMSYN054ACYN4 46/// ///// 1//// 40127 58013 91900 222// 00069=
0088997270999992023010520004+39350-074420FM-13+001099999V02099999999999999999N999999999+00791+99999101221ADDMD1810131+9999SA1+0691REMSYN054ACYN4 46/// ///// 10079 40122 58013 92000 222// 00069=
0088997270999992023010521004+39350-074420FM-13+001099999V02099999999999999999N999999999+00771+99999101241ADDMD1610101+9999SA1+0701REMSYN054ACYN4 46/// ///// 10077 40124 56010 92100 222// 00070=
0088997270999992023010522004+39350-074420FM-13+001099999V02099999999999999999N999999999+00811+99999101321ADDMD1310051+9999SA1+0721REMSYN054ACYN4 46/// ///// 10081 40132 53005 92200 222// 00072=
0088997270999992023010523004+39350-074420FM-13+001099999V02099999999999999999N999999999+00751+99999101291ADDMD1990071+9999SA1+0741REMSYN054ACYN4 46/// ///// 10075 40129 50007 92300 222// 00074=
0088997270999992023010600004+39350-074420FM-13+001099999V02099999999999999999N999999999+00761+99999101321ADDMD1110081+9999SA1+0711REMSYN054ACYN4 46/// ///// 10076 40132 51008 90000 222// 00071=
0088997270999992023010601004+39350-074420FM-13+001099999V02099999999999999999N999999999+00761+99999101331ADDMD1510001+9999SA1+0701REMSYN054ACYN4 46/// ///// 10076 40133 55000 90100 222// 00070=
0088997270999992023010602004+39350-074420FM-13+001099999V02099999999999999999N999999999+00801+99999101381ADDMD1310091+9999SA1+0681REMSYN054ACYN4 46/// ///// 10080 40138 53009 90200 222// 00068=
0088997270999992023010603004+39350-074420FM-13+001099999V02099999999999999999N999999999+00771+99999101431ADDMD1310111+9999SA1+0681REMSYN054ACYN4 46/// ///// 10077 40143 53011 90300 222// 00068=
0088997270999992023010604004+39350-074420FM-13+001099999V02099999999999999999N999999999+00731+99999101371ADDMD1990041+9999SA1+0681REMSYN054ACYN4 46/// ///// 10073 40137 50004 90400 222// 00068=
0088997270999992023010605004+39350-074420FM-13+001099999V02099999999999999999N999999999+00761+99999101341ADDMD1810041+9999SA1+0681REMSYN054ACYN4 46/// ///// 10076 40134 58004 90500 222// 00068=
0088997270999992023010606004+39350-074420FM-13+001099999V02099999999999999999N999999999+00771+99999101331ADDMD1610101+9999SA1+0681REMSYN054ACYN4 46/// ///// 10077 40133 56010 90600 222// 00068=
0088997270999992023010607004+39350-074420FM-13+001099999V02099999999999999999N999999999+00801+99999101371ADDMD1510001+9999SA1+0681REMSYN054ACYN4 46/// ///// 10080 40137 55000 90700 222// 00068=
0088997270999992023010608004+39350-074420FM-13+001099999V02099999999999999999N999999999+00771+99999101361ADDMD1410001+9999SA1+0681REMSYN054ACYN4 46/// ///// 10077 40136 54000 90800 222// 00068=
0088997270999992023010609004+39350-074420FM-13+001099999V02099999999999999999N999999999+00811+99999101321ADDMD1990001+9999SA1+0701REMSYN054ACYN4 46/// ///// 10081 40132 50000 90900 222// 00070=
0068997270999992023010610004+39350-074420FM-13+001099999V02099999999999999999N999999999+00821+99999101361ADDSA1+0701REMSYN048ACYN4 46/// ///// 10082 40136 90936 222// 00070=
0088997270999992023010611004+39350-074420FM-13+001099999V02099999999999999999N999999999+00771+99999101361ADDMD1510001+9999SA1+0691REMSYN054ACYN4 46/// ///// 10077 40136 55000 91100 222// 00069=
0088997270999992023010612004+39350-074420FM-13+001099999V02099999999999999999N999999999+00791+99999101411ADDMD1310091+9999SA1+0691REMSYN054ACYN4 46/// ///// 10079 40141 53009 91200 222// 00069=
0088997270999992023010613004+39350-074420FM-13+001099999V02099999999999999999N999999999+00751+99999101321ADDMD1810031+9999SA1+0691REMSYN054ACYN4 46/// ///// 10075 40132 58003 91300 222// 00069=
0088997270999992023010614004+39350-074420FM-13+001099999V02099999999999999999N999999999+00711+99999101431ADDMD1310071+9999SA1+0691REMSYN054ACYN4 46/// ///// 10071 40143 53007 91400 222// 00069=
0088997270999992023010615004+39350-074420FM-13+001099999V02099999999999999999N999999999+00801+99999101521ADDMD1310111+9999SA1+0691REMSYN054ACYN4 46/// ///// 10080 40152 53011 91500 222// 00069=
0088997270999992023010616004+39350-074420FM-13+001099999V02099999999999999999N999999999+00911+99999101491ADDMD1990171+9999SA1+0691REMSYN054ACYN4 46/// ///// 10091 40149 50017 91600 222// 00069=
0088997270999992023010617004+39350-074420FM-13+001099999V02099999999999999999N999999999+00951+99999101451ADDMD1990001+9999SA1+0691REMSYN054ACYN4 46/// ///// 10095 40145 50000 91700 222// 00069=
0088997270999992023010618004+39350-074420FM-13+001099999V02099999999999999999N999999999+01041+99999101421ADDMD1710101+9999SA1+0701REMSYN054ACYN4 46/// ///// 10104 40142 57010 91800 222// 00070=
0088997270999992023010619004+39350-074420FM-13+001099999V02099999999999999999N999999999+01001+99999101441ADDMD1610051+9999SA1+0691REMSYN054ACYN4 46/// ///// 10100 40144 56005 91900 222// 00069=
0068997270999992023010620004+39350-074420FM-13+001099999V02099999999999999999N999999999+00931+99999101521ADDSA1+0691REMSYN048ACYN4 46/// ///// 10093 40152 91948 222// 00069=
0088997270999992023010621004+39350-074420FM-13+001099999V02099999999999999999N999999999+00891+99999101651ADDMD1310231+9999SA1+0691REMSYN054ACYN4 46/// ///// 10089 40165 53023 92100 222// 00069=
