0128997779999992022010100004+39300-075367FM-13+000399999V0201201N003619999999N999999999+00791+99999101501ADDMD1310051+9999OD159900411999SA1+0701REMSYN080SJSN4 46/// /1207 10079 40150 53005 90000 222// 00070 333 91208 555 11007 22007=
0128997779999992022010101004+39300-075367FM-13+000399999V0200901N003119999999N999999999+00831+99999101511ADDMD1210051+9999OD159900361999SA1+0701REMSYN080SJSN4 46/// /0906 10083 40151 52005 90100 222// 00070 333 91207 555 11006 22006=
0128997779999992022010102004+39300-075367FM-13+000399999V0201001N005119999999N999999999+00851+99999101481ADDMD1990031+9999OD159900511999SA1+0701REMSYN080SJSN4 46/// /1010 10085 40148 50003 90200 222// 00070 333 91210 555 11009 22010=
0128997779999992022010103004+39300-075367FM-13+000399999V0201301N006219999999N999999999+00831+99999101441ADDMD1810061+9999OD159900621999SA1+0701REMSYN080SJSN4 46/// /1312 10083 40144 58006 90300 222// 00070 333 91212 555 11011 22012=
0128997779999992022010104004+39300-075367FM-13+000399999V0201301N005119999999N999999999+00811+99999101431ADDMD1610081+9999OD159900511999SA1+0701REMSYN080SJSN4 46/// /1310 10081 40143 56008 90400 222// 00070 333 91210 555 11009 22010=
0128997779999992022010105004+39300-075367FM-13+000399999V0201401N007719999999N999999999+00871+99999101301ADDMD1810181+9999OD159900821999SA1+0701REMSYN080SJSN4 46/// /1415 10087 40130 58018 90500 222// 00070 333 91216 555 11014 22015=
0128997779999992022010106004+39300-075367FM-13+000399999V0201401N008219999999N999999999+00861+99999101221ADDMD1810221+9999OD159900931999SA1+0701REMSYN080SJSN4 46/// /1416 10086 40122 58022 90600 222// 00070 333 91218 555 11015 22016=
0128997779999992022010107004+39300-075367FM-13+000399999V0201501N005719999999N999999999+00881+99999101231ADDMD1610201+9999OD159900621999SA1+0701REMSYN080SJSN4 46/// /1511 10088 40123 56020 90700 222// 00070 333 91212 555 11010 22011=
0128997779999992022010108004+39300-075367FM-13+000399999V0201601N004619999999N999999999+00871+99999101221ADDMD1610081+9999OD159900511999SA1+0701REMSYN080SJSN4 46/// /1609 10087 40122 56008 90800 222// 00070 333 91210 555 11008 22009=
0128997779999992022010109004+39300-075367FM-13+000399999V0201401N004119999999N999999999+00851+99999101151ADDMD1810071+9999OD159900461999SA1+0711REMSYN080SJSN4 46/// /1408 10085 40115 58007 90900 222// 00071 333 91209 555 11008 22009=
0128997779999992022010110004+39300-075367FM-13+000399999V0201301N005119999999N999999999+00831+99999101071ADDMD1810161+9999OD159900511999SA1+0711REMSYN080SJSN4 46/// /1310 10083 40107 58016 91000 222// 00071 333 91210 555 11009 22010=
0128997779999992022010111004+39300-075367FM-13+000399999V0201501N005119999999N999999999+00871+99999101081ADDMD1610141+9999OD159900571999SA1+0711REMSYN080SJSN4 46/// /1510 10087 40108 56014 91100 222// 00071 333 91211 555 11010 22011=
0128997779999992022010112004+39300-075367FM-13+000399999V0201401N005119999999N999999999+00851+99999101061ADDMD1610091+9999OD159900571999SA1+0701REMSYN080SJSN4 46/// /1410 10085 40106 56009 91200 222// 00070 333 91211 555 11009 22010=
