0108997779999992024010100004+39300-075367FM-13+000399999V0202001N002619999999N999999999+00681+99999101681ADDMD1110091+9999OD159900311999REMSYN068SJSN4 46/// /2005 10068 40168 51009 90000 333 91206 555 11005 22006=
0108997779999992024010101004+39300-075367FM-13+000399999V0202001N003619999999N999999999+00661+99999101681ADDMD1110061+9999OD159900361999REMSYN068SJSN4 46/// /2007 10066 40168 51006 90100 333 91207 555 11006 22007=
0108997779999992024010102004+39300-075367FM-13+000399999V0202001N003619999999N999999999+00611+99999101681ADDMD1410001+9999OD159900411999REMSYN068SJSN4 46/// /2007 10061 40168 54000 90200 333 91208 555 11007 22008=
0108997779999992024010103004+39300-075367FM-13+000399999V0201901N003619999999N999999999+00631+99999101701ADDMD1410001+9999OD159900461999REMSYN068SJSN4 46/// /1907 10063 40170 54000 90300 333 91209 555 11007 22008=
0108997779999992024010104004+39300-075367FM-13+000399999V0202101N005119999999N999999999+00561+99999101691ADDMD1410001+9999OD159900621999REMSYN068SJSN4 46/// /2110 10056 40169 54000 90400 333 91212 555 11009 22010=
0108997779999992024010105004+39300-075367FM-13+000399999V0202101N005119999999N999999999+00581+99999101651ADDMD1810031+9999OD159900671999REMSYN068SJSN4 46/// /2110 10058 40165 58003 90500 333 91213 555 11009 22010=
0108997779999992024010106004+39300-075367FM-13+000399999V0201901N003619999999N999999999+00591+99999101591ADDMD1810111+9999OD159900411999REMSYN068SJSN4 46/// /1907 10059 40159 58011 90600 333 91208 555 11006 22007=
0108997779999992024010107004+39300-075367FM-13+000399999V0202001N003619999999N999999999+00601+99999101611ADDMD1610081+9999OD159900411999REMSYN068SJSN4 46/// /2007 10060 40161 56008 90700 333 91208 555 11007 22008=
0108997779999992024010108004+39300-075367FM-13+000399999V0201501N002619999999N999999999+00581+99999101551ADDMD1710101+9999OD159900311999REMSYN068SJSN4 46/// /1505 10058 40155 57010 90800 333 91206 555 11005 22005=
0108997779999992024010109004+39300-075367FM-13+000399999V0201701N002119999999N999999999+00591+99999101531ADDMD1710061+9999OD159900311999REMSYN068SJSN4 46/// /1704 10059 40153 57006 90900 333 91206 555 11004 22004=
0108997779999992024010110004+39300-075367FM-13+000399999V0202101N002119999999N999999999+00581+99999101521ADDMD1610091+9999OD159900211999REMSYN068SJSN4 46/// /2104 10058 40152 56009 91000 333 91204 555 11003 22004=
0108997779999992024010111004+39300-075367FM-13+000399999V0201801N002119999999N999999999+00551+99999101531ADDMD1410001+9999OD159900211999REMSYN068SJSN4 46/// /1804 10055 40153 54000 91100 333 91204 555 11004 22004=
0108997779999992024010112004+39300-075367FM-13+000399999V0202601N001019999999N999999999+00561+99999101581ADDMD1310051+9999OD159900151999REMSYN068SJSN4 46/// /2602 10056 40158 53005 91200 333 91203 555 11002 22002=
0108997779999992024010113004+39300-075367FM-13+000399999V0202501N001519999999N999999999+00561+99999101631ADDMD1310111+9999OD159900211999REMSYN068SJSN4 46/// /2503 10056 40163 53011 91300 333 91204 555 11003 22003=
0108997779999992024010114004+39300-075367FM-13+000399999V0203301N002119999999N999999999+00531+99999101671ADDMD1110141+9999OD159900261999REMSYN068SJSN4 46/// /3304 10053 40167 51014 91400 333 91205 555 11004 22004=
0108997779999992024010115004+39300-075367FM-13+000399999V0200201N004119999999N999999999+00481+99999101711ADDMD1110131+9999OD159900411999REMSYN068SJSN4 46/// /0208 10048 40171 51013 91500 333 91208 555 11007 22008=
0108997779999992024010116004+39300-075367FM-13+000399999V0200301N002619999999N999999999+00571+99999101711ADDMD1110081+9999OD159900361999REMSYN068SJSN4 46/// /0305 10057 40171 51008 91600 333 91207 555 11005 22005=
0108997779999992024010117004+39300-075367FM-13+000399999V0201901N001019999999N999999999+00631+99999101661ADDMD1990001+9999OD159900151999REMSYN068SJSN4 46/// /1902 10063 40166 50000 91700 333 91203 555 11002 22002=
0108997779999992024010118004+39300-075367FM-13+000399999V0202601N001519999999N999999999+00641+99999101601ADDMD1810111+9999OD159900211999REMSYN068SJSN4 46/// /2603 10064 40160 58011 91800 333 91204 555 11003 22003=
0108997779999992024010119004+39300-075367FM-13+000399999V0203101N005719999999N999999999+00721+99999101601ADDMD1610111+9999OD159900621999REMSYN068SJSN4 46/// /3111 10072 40160 56011 91900 333 91212 555 11011 22012=
0108997779999992024010120004+39300-075367FM-13+000399999V0203201N005719999999N999999999+00711+99999101641ADDMD1510001+9999OD159900621999REMSYN068SJSN4 46/// /3211 10071 40164 55000 92000 333 91212 555 11010 22011=
0108997779999992024010121004+39300-075367FM-13+000399999V0203201N006719999999N999999999+99999+99999101661ADDMD1210061+9999OD159900721999REMSYN068SJSN4 46/// /3213 1//// 40166 52006 92100 333 91214 555 11013 22014=
0108997779999992024010122004+39300-075367FM-13+000399999V0203201N007219999999N999999999+00641+99999101711ADDMD1310111+9999OD159900771999REMSYN068SJSN4 46/// /3214 10064 40171 53011 92200 333 91215 555 11013 22014=
0108997779999992024010123004+39300-075367FM-13+000399999V0203101N006219999999N999999999+00601+99999101771ADDMD1310131+9999OD159900671999REMSYN068SJSN4 46/// /3112 10060 40177 53013 92300 333 91213 555 11012 22013=
0108997779999992024010200004+39300-075367FM-13+000399999V0203201N006719999999N999999999+00601+99999101801ADDMD1110141+9999OD159900721999REMSYN068SJSN4 46/// /3213 10060 40180 51014 90000 333 91214 555 11012 22014=
0108997779999992024010201004+39300-075367FM-13+000399999V0203301N007219999999N999999999+00571+99999101831ADDMD1110121+9999OD159900821999REMSYN068SJSN4 46/// /3314 10057 40183 51012 90100 333 91216 555 11014 22015=
0108997779999992024010202004+39300-075367FM-13+000399999V0203301N006719999999N999999999+00561+99999101861ADDMD1210091+9999OD159900771999REMSYN068SJSN4 46/// /3313 10056 40186 52009 90200 333 91215 555 11013 22014=
0108997779999992024010203004+39300-075367FM-13+000399999V0203401N006719999999N999999999+00551+99999101861ADDMD1110061+9999OD159900721999REMSYN068SJSN4 46/// /3413 10055 40186 51006 90300 333 91214 555 11012 22013=
0108997779999992024010204004+39300-075367FM-13+000399999V0203501N006219999999N999999999+00551+99999101871ADDMD1110041+9999OD159900721999REMSYN068SJSN4 46/// /3512 10055 40187 51004 90400 333 91214 555 11012 22013=
0108997779999992024010205004+39300-075367FM-13+000399999V0203601N005719999999N999999999+00531+99999101871ADDMD1410001+9999OD159900721999REMSYN068SJSN4 46/// /3611 10053 40187 54000 90500 333 91214 555 11011 22012=
0108997779999992024010206004+39300-075367FM-13+000399999V0203501N006719999999N999999999+00481+99999101871ADDMD1410001+9999OD159900721999REMSYN068SJSN4 46/// /3513 10048 40187 54000 90600 333 91214 555 11012 22014=
0108997779999992024010207004+39300-075367FM-13+000399999V0200101N006719999999N999999999+00371+99999101901ADDMD1310031+9999OD159900821999REMSYN068SJSN4 46/// /0113 10037 40190 53003 90700 333 91216 555 11012 22013=
0108997779999992024010208004+39300-075367FM-13+000399999V0203601N007219999999N999999999+00261+99999101931ADDMD1310061+9999OD159900821999REMSYN068SJSN4 46/// /3614 10026 40193 53006 90800 333 91216 555 11014 22015=
0108997779999992024010209004+39300-075367FM-13+000399999V0203601N007719999999N999999999+00231+99999101921ADDMD1110051+9999OD159900881999REMSYN068SJSN4 46/// /3615 10023 40192 51005 90900 333 91217 555 11014 22015=
0108997779999992024010210004+39300-075367FM-13+000399999V0200101N006219999999N999999999+00171+99999101941ADDMD1110041+9999OD159900671999REMSYN068SJSN4 46/// /0112 10017 40194 51004 91000 333 91213 555 11011 22012=
0108997779999992024010211004+39300-075367FM-13+000399999V0200101N005119999999N999999999+00141+99999102021ADDMD1310091+9999OD159900621999REMSYN068SJSN4 46/// /0110 10014 40202 53009 91100 333 91212 555 11010 22011=
0108997779999992024010212004+39300-075367FM-13+000399999V0203601N004619999999N999999999+00171+99999102061ADDMD1310141+9999OD159900571999REMSYN068SJSN4 46/// /3609 10017 40206 53014 91200 333 91211 555 11009 22010=
0108997779999992024010213004+39300-075367FM-13+000399999V0203601N004619999999N999999999+00201+99999102091ADDMD1110151+9999OD159900571999REMSYN068SJSN4 46/// /3609 10020 40209 51015 91300 333 91211 555 11009 22010=
0108997779999992024010214004+39300-075367FM-13+000399999V0203501N005119999999N999999999+00261+99999102131ADDMD1210111+9999OD159900571999REMSYN068SJSN4 46/// /3510 10026 40213 52011 91400 333 91211 555 11009 22010=
0108997779999992024010215004+39300-075367FM-13+000399999V0203501N007219999999N999999999+00301+99999102161ADDMD1210101+9999OD159900821999REMSYN068SJSN4 46/// /3514 10030 40216 52010 91500 333 91216 555 11013 22015=
0108997779999992024010216004+39300-075367FM-13+000399999V0203301N008219999999N999999999+00321+99999102111ADDMD1990001+9999OD159900981999REMSYN068SJSN4 46/// /3316 10032 40211 50000 91600 333 91219 555 11015 22016=
0108997779999992024010217004+39300-075367FM-13+000399999V0203101N008219999999N999999999+00321+99999101991ADDMD1810141+9999OD159900931999REMSYN068SJSN4 46/// /3116 10032 40199 58014 91700 333 91218 555 11015 22016=
0108997779999992024010218004+39300-075367FM-13+000399999V0202901N007719999999N999999999+00351+99999101881ADDMD1810281+9999OD159900931999REMSYN068SJSN4 46/// /2915 10035 40188 58028 91800 333 91218 555 11015 22016=
0108997779999992024010219004+39300-075367FM-13+000399999V0203101N007719999999N999999999+00411+99999101821ADDMD1610291+9999OD159900881999REMSYN068SJSN4 46/// /3115 10041 40182 56029 91900 333 91217 555 11015 22016=
0108997779999992024010220004+39300-075367FM-13+000399999V0203101N008819999999N999999999+00491+99999101791ADDMD1610201+9999OD159900981999REMSYN068SJSN4 46/// /3117 10049 40179 56020 92000 333 91219 555 11016 22018=
0108997779999992024010221004+39300-075367FM-13+000399999V0203101N007219999999N999999999+00531+99999101791ADDMD1610091+9999OD159900821999REMSYN068SJSN4 46/// /3114 10053 40179 56009 92100 333 91216 555 11014 22015=
0108997779999992024010222004+39300-075367FM-13+000399999V0203001N007719999999N999999999+00531+99999101831ADDMD1510001+9999OD159900821999REMSYN068SJSN4 46/// /3015 10053 40183 55000 92200 333 91216 555 11014 22015=
0108997779999992024010223004+39300-075367FM-13+000399999V0203001N005719999999N999999999+00521+99999101841ADDMD1210051+9999OD159900671999REMSYN068SJSN4 46/// /3011 10052 40184 52005 92300 333 91213 555 11010 22011=
0108997779999992024010300004+39300-075367FM-13+000399999V0202901N003619999999N999999999+00471+99999101861ADDMD1110071+9999OD159900411999REMSYN068SJSN4 46/// /2907 10047 40186 51007 90000 333 91208 555 11006 22007=
0108997779999992024010301004+39300-075367FM-13+000399999V0202701N003619999999N999999999+00441+99999101871ADDMD1210041+9999OD159900411999REMSYN068SJSN4 46/// /2707 10044 40187 52004 90100 333 91208 555 11007 22008=
0108997779999992024010302004+39300-075367FM-13+000399999V0202801N004619999999N999999999+00381+99999101861ADDMD1410001+9999OD159900511999REMSYN068SJSN4 46/// /2809 10038 40186 54000 90200 333 91210 555 11008 22009=
0108997779999992024010303004+39300-075367FM-13+000399999V0202701N003619999999N999999999+00331+99999101861ADDMD1410001+9999OD159900411999REMSYN068SJSN4 46/// /2707 10033 40186 54000 90300 333 91208 555 11007 22008=
0108997779999992024010304004+39300-075367FM-13+000399999V0202601N003119999999N999999999+00301+99999101871ADDMD1410001+9999OD159900411999REMSYN068SJSN4 46/// /2606 10030 40187 54000 90400 333 91208 555 11006 22006=
0108997779999992024010305004+39300-075367FM-13+000399999V0203101N006719999999N999999999+00371+99999101871ADDMD1410001+9999OD159900771999REMSYN068SJSN4 46/// /3113 10037 40187 54000 90500 333 91215 555 11013 22014=
0108997779999992024010306004+39300-075367FM-13+000399999V0202901N005119999999N999999999+00281+99999101841ADDMD1990001+9999OD159900621999REMSYN068SJSN4 46/// /2910 10028 40184 50000 90600 333 91212 555 11010 22010=
0108997779999992024010307004+39300-075367FM-13+000399999V0203001N006219999999N999999999+00291+99999101851ADDMD1410001+9999OD159900721999REMSYN068SJSN4 46/// /3012 10029 40185 54000 90700 333 91214 555 11011 22012=
0108997779999992024010308004+39300-075367FM-13+000399999V0202801N005719999999N999999999+00231+99999101851ADDMD1510001+9999OD159900621999REMSYN068SJSN4 46/// /2811 10023 40185 55000 90800 333 91212 555 11010 22011=
0108997779999992024010309004+39300-075367FM-13+000399999V0202801N006219999999N999999999+00211+99999101831ADDMD1410001+9999OD159900671999REMSYN068SJSN4 46/// /2812 10021 40183 54000 90900 333 91213 555 11011 22012=
