0108997779999992021010201004+39300-075367FM-13+000399999V0200801N003119999999N999999999+00511+99999102061ADDOD159900511999SA1+0451REMSYN074SJSN4 46/// /0806 10051 40206 90042 222// 00045 333 91210 555 11006 22006=
0088997779999992021010202004+39300-075367FM-13+000399999V0209999C000019999999N999999999+00541+99999101971ADDMD1610401+9999SA1+0451REMSYN054SJSN4 46/// ///// 10054 40197 56040 90200 222// 00045=
0108997779999992021010203004+39300-075367FM-13+000399999V0203201N008219999999N999999999+00411+99999101941ADDMD1610271+9999OD159901131999REMSYN068SJSN4 46/// /3216 10041 40194 56027 90300 333 91222 555 11015 22017=
0128997779999992021010204004+39300-075367FM-13+000399999V0201001N006719999999N999999999+00461+99999101391ADDMD1810591+9999OD159900881999SA1+0451REMSYN080SJSN4 46/// /1013 10046 40139 58059 90400 222// 00045 333 91217 555 11013 22014=
0128997779999992021010205004+39300-075367FM-13+000399999V0203101N004119999999N999999999+99999+99999101361ADDMD1710611+9999OD159900461999SA1+0451REMSYN080SJSN4 46/// /3108 1//// 40136 57061 90500 222// 00045 333 91209 555 11007 22008=
0128997779999992021010206004+39300-075367FM-13+000399999V0202801N006219999999N999999999+00481+99999101261ADDMD1610681+9999OD159900621999SA1+0451REMSYN080SJSN4 46/// /2812 10048 40126 56068 90600 222// 00045 333 91212 555 11011 22012=
0128997779999992021010207004+39300-075367FM-13+000399999V0202801N004119999999N999999999+00451+99999101231ADDMD1710161+9999OD159900461999SA1+0461REMSYN080SJSN4 46/// /2808 10045 40123 57016 90700 222// 00046 333 91209 555 11008 22009=
0128997779999992021010208004+39300-075367FM-13+000399999V0202301N004119999999N999999999+00421+99999101181ADDMD1610181+9999OD159900461999SA1+0461REMSYN080SJSN4 46/// /2308 10042 40118 56018 90800 222// 00046 333 91209 555 11007 22008=
0128997779999992021010209004+39300-075367FM-13+000399999V0201901N003119999999N999999999+00431+99999101011ADDMD1810251+9999OD159900311999SA1+0451REMSYN080SJSN4 46/// /1906 10043 40101 58025 90900 222// 00045 333 91206 555 11006 22006=
0128997779999992021010210004+39300-075367FM-13+000399999V0202101N002619999999N999999999+00441+99999101011ADDMD1610221+9999OD159900261999SA1+0451REMSYN080SJSN4 46/// /2105 10044 40101 56022 91000 222// 00045 333 91205 555 11004 22005=
0128997779999992021010211004+39300-075367FM-13+000399999V0202401N004619999999N999999999+00461+99999101031ADDMD1610151+9999OD159900571999SA1+0461REMSYN080SJSN4 46/// /2409 10046 40103 56015 91100 222// 00046 333 91211 555 11009 22009=
