0108997743999992023010206004+40650-074067FM-13+007299999V0202801N001019999999N999999999+00841+99999101691ADDMD1990001+9999OD159900211999REMSYN068ROBN4 46/// /2802 10084 40169 50000 90600 333 91204 555 11002 22002=
0108997743999992023010207004+40650-074067FM-13+007299999V0201501N002119999999N999999999+00741+99999101731ADDMD1510001+9999OD159900211999REMSYN068ROBN4 46/// /1504 10074 40173 55000 90700 333 91204 555 11003 22004=
0108997743999992023010208004+40650-074067FM-13+007299999V0202801N002119999999N999999999+00831+99999101821ADDMD1310121+9999OD159900261999REMSYN068ROBN4 46/// /2804 10083 40182 53012 90800 333 91205 555 11003 22004=
0108997743999992023010209004+40650-074067FM-13+007299999V0202801N001519999999N999999999+00801+99999101801ADDMD1110111+9999OD159900211999REMSYN068ROBN4 46/// /2803 10080 40180 51011 90900 333 91204 555 11003 22003=
0108997743999992023010210004+40650-074067FM-13+007299999V0202601N002119999999N999999999+00801+99999101851ADDMD1110121+9999OD159900261999REMSYN068ROBN4 46/// /2604 10080 40185 51012 91000 333 91205 555 11004 22004=
0108997743999992023010211004+40650-074067FM-13+007299999V0201801N000519999999N999999999+00741+99999101861ADDMD1210041+9999OD159900211999REMSYN068ROBN4 46/// /1801 10074 40186 52004 91100 333 91204 555 11001 22001=
0108997743999992023010212004+40650-074067FM-13+007299999V0202901N002119999999N999999999+00691+99999101951ADDMD1310151+9999OD159900211999REMSYN068ROBN4 46/// /2904 10069 40195 53015 91200 333 91204 555 11003 22004=
0108997743999992023010213004+40650-074067FM-13+007299999V0202801N003119999999N999999999+00731+99999102011ADDMD1310161+9999OD159900361999REMSYN068ROBN4 46/// /2806 10073 40201 53016 91300 333 91207 555 11005 22006=
0108997743999992023010214004+40650-074067FM-13+007299999V0202701N002619999999N999999999+00741+99999102081ADDMD1110221+9999OD159900311999REMSYN068ROBN4 46/// /2705 10074 40208 51022 91400 333 91206 555 11004 22005=
0108997743999992023010215004+40650-074067FM-13+007299999V0202801N000519999999N999999999+00821+99999102081ADDMD1110131+9999OD159900051999REMSYN068ROBN4 46/// /2801 10082 40208 51013 91500 333 91201 555 11001 22001=
