date,state,light_mean,light_median,light_max,light_std,quality_high_pct,quality_ephemeral_pct,quality_poor_pct,cloud_clear_pct,cloud_cloudy_pct,snow_coverage_pct,lunar_irradiance_mean,has_gaps,gap_fill_effectiveness,gap_fill_pct,quality_score
2023-08-06,NJ,29.181413379872016,29.200000000000003,29.200000000000003,0.038899865874014256,0.9854380453752182,0.01456195462478185,0.0,1.0,0.0,0.0,7.450827011321625,True,0.46848167539267016,46.84816753926702,0.992719022687609
2023-08-07,NJ,19.599999999999994,19.6,19.6,7.105427357601002e-15,1.0,0.0,0.0,1.0,0.0,0.0,8.434265699606557,True,1.0,100.0,1.0
2023-08-08,NJ,12.899028272251314,12.9,12.9,0.01704623330210377,0.9273856893542758,0.003159976730657359,0.0,1.0,0.0,0.0,8.26092585816504,True,0.8499313554392088,84.99313554392089,0.9636928446771378
2023-08-09,NJ,8.16950087260035,8.200000000000001,8.200000000000001,0.09066168676875136,0.748174520069808,0.05343106457242583,0.0,1.0,0.0,0.0,8.52560355355602,True,0.0635718440954043,6.35718440954043,0.8740872600349039
2023-08-10,NJ,4.863809191390343,4.800000000000001,5.0,0.09322137830014707,0.9341524141942991,0.06584758580570099,0.0,1.0,0.0,0.0,8.511581639899521,True,0.5628714368819081,56.28714368819081,0.9670762070971495
2023-08-11,NJ,2.6,2.6,2.6,0.0,0.9745898778359511,0.025410122164048865,0.0,1.0,0.0,0.0,6.568031946408285,True,0.04466783013379872,4.466783013379872,0.9872949389179755
2023-08-12,NJ,1.3,1.3,1.3,0.0,0.9776893542757417,0.02231064572425829,0.0,1.0,0.0,0.0,7.373898397615573,True,0.12497963932518906,12.497963932518905,0.9888446771378707
2023-08-13,NJ,0.5,0.5,0.5,0.0,0.9984921465968586,0.0015078534031413612,0.0,1.0,0.0,0.0,8.432335254928187,True,0.9771029668411867,97.71029668411867,0.9992460732984292
2023-08-14,NJ,0.5,0.5,0.5,0.0,0.9705317044793484,0.02946829552065154,0.0,1.0,0.0,0.0,8.318872146951911,True,0.8302315299592786,83.02315299592786,0.9852658522396742
2023-08-15,NJ,0.5,0.5,0.5,0.0,0.9725514834205934,0.027448516579406633,0.0,1.0,0.0,0.0,7.56287465105494,True,0.4667038976148924,46.67038976148924,0.9862757417102967
2023-08-16,NJ,0.5,0.5,0.5,0.0,0.9556765561372891,0.04432344386271088,0.0,1.0,0.0,0.0,7.995422522455159,True,0.6534217568353694,65.34217568353694,0.9778382780686445
2023-08-17,NJ,0.5,0.5,0.5,0.0,0.9355997673065736,0.06440023269342642,0.0,1.0,0.0,0.0,7.62780845334765,True,0.5050191972076788,50.50191972076789,0.9677998836532868
2023-08-18,NJ,0.5,0.5,0.5,0.0,0.9671762652705062,0.03282373472949389,0.0,1.0,0.0,0.0,8.014083964338104,True,0.8766864456079115,87.66864456079115,0.9835881326352531
2023-08-19,NJ,0.5,0.5,0.5,0.0,0.9997486910994764,0.00025130890052356024,0.0,1.0,0.0,0.0,7.675459442404955,True,0.06355322862129145,6.355322862129145,0.9998743455497381
2023-08-20,NJ,0.5,0.5,0.5,0.0,0.999934845840605,6.515415939499709e-05,0.0,1.0,0.0,0.0,8.944583221868387,True,0.018871436881908087,1.8871436881908086,0.9999674229203024
2023-08-21,NJ,0.5,0.5,0.5,0.0,0.9998836532867946,0.00011634671320535195,0.0,1.0,0.0,0.0,7.744097435419713,True,0.01968586387434555,1.9685863874345548,0.9999418266433973
2023-08-22,NJ,0.5,0.5,0.5,0.0,0.9826689936009307,0.017331006399069225,0.0,1.0,0.0,0.0,8.17925935973496,True,0.9517579988365329,95.17579988365328,0.9913344968004654
2023-08-23,NJ,0.5,0.5,0.5,0.0,0.9999022687609075,9.773123909249564e-05,0.0,1.0,0.0,0.0,7.596777478464839,True,0.012225712623618382,1.2225712623618383,0.9999511343804537
2023-08-24,NJ,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.17743036014861,True,1.0,100.0,1.0
