gapfilled_ntl,total_passed,peak_speed_mph,peak_altitude_ft,lunar_irradiance,ntl_variability,peak_birds,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),soil_temperature_0_to_7cm (°C),rain (mm),snowfall (cm),wind_gusts_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),vapour_pressure_deficit (kPa),day_of_year,month,year,season,hour,state,peak_direction,peak_speed_missing,peak_altitude_missing,quality_score,date,gapfilled_ntl_log,ntl_variability_log,total_passed_log,peak_birds_log,lunar_irradiance_yj,peak_speed_mph_yj,peak_altitude_ft_yj,disoriented,weather_condition,alan_cloud_interaction,alan_lunar_interaction
24.047033856893545,15500.0,21.0,1700.0,8.744137990827141,0.1612703644252208,23900.0,7.757142857142857,95.71428571428572,5.528571428571429,81.85714285714286,1016.9428571428572,10.357142857142858,94.0,7.142857142857143,7.8428571428571425,0.0,0.0,20.014285714285712,22.185714285714287,110.0,0.0428571428571428,82,3,2021,spring,3.0,NJ,Low activity,1,1,0.9348993600930772,2021-03-23,3.2207554116135406,0.1495145476338863,9.648659816955295,10.081675578048475,2.25633072149028,9.25818769132897,8.068329367943454,1,Overcast,263.64183583636554,7.267089381629704
24.022632249246733,386400.0,32.0,1300.0,0.5630504613588767,0.1238158138799137,203700.0,9.328571428571427,52.285714285714285,5.2,78.71428571428571,1009.4857142857144,13.957142857142856,157.14285714285714,-0.0142857142857142,9.328571428571427,0.0,0.0,27.62857142857143,27.65714285714285,174.85714285714286,0.5671428571428572,82,3,2021,spring,3.0,VT,NNE,0,0,0.9900155757019048,2021-03-23,3.2197807053102476,0.11672987138901107,12.86463096930887,12.224408511383015,0.44585292371828955,12.341193452516894,7.754547710419688,0,Overcast,253.44273837513518,1.4355486411943104
34.063942292030255,86700.0,23.0,1900.0,9.484936696045576,0.3760183828537652,120200.0,11.23076923076923,98.46153846153848,10.184615384615386,99.76923076923076,1010.9153846153846,9.4,192.07692307692307,10.992307692307692,10.738461538461538,1.0615384615384615,0.0,20.476923076923075,18.03846153846154,177.76923076923077,0.02,83,3,2021,spring,11.076923076923077,NJ,NE,0,0,0.9540151250727168,2021-03-24,3.557173317325462,0.31919409905400964,11.370220696727491,11.696920620516192,2.3282786149400154,9.856582743874998,8.198975099680327,0,Overcast,354.89644558239416,8.282090564364108
34.379735168692385,65800.0,17.0,700.0,0.4281789787042749,0.1256768813304571,86200.0,11.107692307692307,71.92307692307692,7.438461538461539,92.6153846153846,1005.3153846153848,18.8,169.15384615384616,6.123076923076923,9.446153846153846,0.0538461538461538,0.0,40.37692307692308,31.753846153846155,170.69230769230768,0.383076923076923,83,3,2021,spring,11.076923076923077,VT,NNE,0,0,0.995336164472312,2021-03-24,3.566139203364234,0.11838452701791953,11.094390314766315,11.364437057512568,0.3558993326267685,7.9943415938453235,7.037630653870795,0,Overcast,330.2793539115798,1.2691865625314867
47.29391925538103,1659400.0,15.0,2300.0,7.785215487121182,0.0238976778532015,1026400.0,14.684615384615386,92.0,13.284615384615384,96.53846153846152,1008.4846153846154,17.03846153846154,183.46153846153845,13.36153846153846,14.046153846153846,0.0153846153846153,0.0,32.76153846153846,29.1,189.07692307692307,0.1392307692307692,84,3,2021,spring,11.076923076923077,NJ,NNE,0,0,0.9926771378708552,2021-03-25,3.8773056573993183,0.023616597653100497,14.321967251839595,13.841569066562123,2.154538588179361,7.322020747307482,8.424137971978793,0,Overcast,374.30912307970334,8.353804657032976
47.3,294500.0,30.0,1400.0,0.5125961226783317,7.105427357601002e-15,192100.0,15.723076923076924,69.38461538461539,14.107692307692307,94.46153846153848,1000.6846153846152,11.892307692307693,178.3846153846154,9.83846153846154,12.63846153846154,0.0,0.0,27.76153846153846,23.45384615384615,188.84615384615384,0.6069230769230769,84,3,2021,spring,11.076923076923077,VT,NNE,0,0,0.9847548934772864,2021-03-25,3.877431560658527,7.105427357600977e-15,12.593037677653752,12.16577655436517,0.4131522923003562,11.81426578843848,7.841043058599266,0,Overcast,366.2681504991286,1.601969737523818
64.79999999999998,19600.0,21.0,1700.0,9.087038450588604,1.4210854715202004e-14,28200.0,12.453846153846154,61.30769230769231,8.476923076923077,0.0,1011.6615384615384,19.023076923076925,293.2307692307692,4.938461538461539,14.592307692307692,0.0,0.0,41.36923076923077,34.23846153846154,295.9230769230769,0.6107692307692307,85,3,2021,spring,11.076923076923077,NJ,Low activity,1,1,1.0,2021-03-26,4.186619838331271,1.4210854715201903e-14,9.883335864325275,10.247112717290387,2.2902955026644607,9.25818769132897,8.068329367943454,1,,0.0,9.588596587095923
64.84556758123992,18900.0,7.0,1300.0,0.5035899560540181,0.0498031491367345,65500.0,8.123076923076923,90.23076923076924,4.723076923076923,99.46153846153848,992.9153846153846,19.06923076923077,281.38461538461536,6.653846153846154,9.476923076923075,0.5769230769230769,0.0,47.3,31.76923076923077,282.2307692307692,0.1,85,3,2021,spring,11.076923076923077,VT,ENE,0,0,1.0,2021-03-26,4.187312115084633,0.04860266958078629,9.846970109700957,11.089820688682373,0.40719971966667473,4.216079062840461,7.754547710419688,0,Overcast,416.47650498495625,1.7050723194193333
88.422830017452,1335400.0,42.0,3400.0,6.875252266782699,0.0438361254401027,590400.0,11.4,72.61538461538461,8.623076923076923,91.53846153846152,1013.0230769230768,13.076923076923077,162.3846153846154,6.561538461538461,13.169230769230769,0.0,0.0,26.084615384615383,25.99230769230769,168.30769230769232,0.3792307692307692,86,3,2021,spring,11.076923076923077,NJ,NNE,0,0,0.9751646305991856,2021-03-27,4.493376018901002,0.04290250917043568,14.104742179244925,13.288557246033903,2.04700679980788,14.81081137419325,8.8877347866022,0,Overcast,411.3167278840147,9.197971264784012
88.57331496199264,920300.0,38.0,1600.0,0.475129909824638,0.3457974255880203,508000.0,5.023076923076923,65.3076923076923,1.7999999999999998,63.76923076923077,1008.0076923076924,6.4,192.3846153846154,-1.1615384615384614,5.684615384615385,0.0,0.0,15.353846153846153,11.646153846153847,149.15384615384616,0.3246153846153846,86,3,2021,spring,11.076923076923077,VT,NNE,0,0,0.904244933459359,2021-03-27,4.495057451537581,0.29698671884709765,13.732456069428553,13.138238695062618,0.38815021387275817,13.852717591515908,7.997254818721878,0,Partly_Cloudy,286.6463559480503,1.7447575111846472
