date,state,gapfilled_ntl,ntl_variability,lunar_irradiance,quality_score,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft,day_of_year,month,year,season,peak_speed_missing,peak_altitude_missing,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),dew_point_2m (°C),soil_temperature_0_to_7cm (°C),rain (mm),snowfall (cm),wind_gusts_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),vapour_pressure_deficit (kPa),hour
2021-03-23,NJ,24.047033856893545,0.1612703644252208,8.744137990827141,0.9348993600930772,15500.0,23900.0,Low activity,-1.0,-1.0,82,3,2021,spring,1,1,7.757142857142857,95.71428571428572,5.528571428571429,81.85714285714286,1016.9428571428572,10.357142857142858,94.0,7.142857142857143,7.8428571428571425,0.0,0.0,20.014285714285712,22.185714285714287,110.0,0.0428571428571428,3.0
2021-03-23,VT,24.022632249246733,0.1238158138799137,0.5630504613588767,0.9900155757019048,386400.0,203700.0,NNE,32.0,1300.0,82,3,2021,spring,0,0,9.328571428571427,52.285714285714285,5.2,78.71428571428571,1009.4857142857144,13.957142857142856,157.14285714285714,-0.0142857142857142,9.328571428571427,0.0,0.0,27.62857142857143,27.65714285714285,174.85714285714286,0.5671428571428572,3.0
2021-03-24,NJ,34.063942292030255,0.3760183828537652,9.484936696045576,0.9540151250727168,86700.0,120200.0,NE,23.0,1900.0,83,3,2021,spring,0,0,11.23076923076923,98.46153846153848,10.184615384615386,99.76923076923076,1010.9153846153846,9.4,192.07692307692307,10.992307692307692,10.738461538461538,1.0615384615384615,0.0,20.476923076923075,18.03846153846154,177.76923076923077,0.02,11.076923076923077
2021-03-24,VT,34.379735168692385,0.1256768813304571,0.4281789787042749,0.995336164472312,65800.0,86200.0,NNE,17.0,700.0,83,3,2021,spring,0,0,11.107692307692307,71.92307692307692,7.438461538461539,92.6153846153846,1005.3153846153848,18.8,169.15384615384616,6.123076923076923,9.446153846153846,0.0538461538461538,0.0,40.37692307692308,31.753846153846155,170.69230769230768,0.383076923076923,11.076923076923077
2021-03-25,NJ,47.29391925538103,0.0238976778532015,7.785215487121182,0.9926771378708552,1659400.0,1026400.0,NNE,15.0,2300.0,84,3,2021,spring,0,0,14.684615384615386,92.0,13.284615384615384,96.53846153846152,1008.4846153846154,17.03846153846154,183.46153846153845,13.36153846153846,14.046153846153846,0.0153846153846153,0.0,32.76153846153846,29.1,189.07692307692307,0.1392307692307692,11.076923076923077
2021-03-25,VT,47.3,7.105427357601002e-15,0.5125961226783317,0.9847548934772864,294500.0,192100.0,NNE,30.0,1400.0,84,3,2021,spring,0,0,15.723076923076924,69.38461538461539,14.107692307692307,94.46153846153848,1000.6846153846152,11.892307692307693,178.3846153846154,9.83846153846154,12.63846153846154,0.0,0.0,27.76153846153846,23.45384615384615,188.84615384615384,0.6069230769230769,11.076923076923077
2021-03-26,NJ,64.79999999999998,1.4210854715202004e-14,9.087038450588604,1.0,19600.0,28200.0,Low activity,-1.0,-1.0,85,3,2021,spring,1,1,12.453846153846154,61.30769230769231,8.476923076923077,0.0,1011.6615384615384,19.023076923076925,293.2307692307692,4.938461538461539,14.592307692307692,0.0,0.0,41.36923076923077,34.23846153846154,295.9230769230769,0.6107692307692307,11.076923076923077
2021-03-26,VT,64.84556758123992,0.0498031491367345,0.5035899560540181,1.0,18900.0,65500.0,ENE,7.0,1300.0,85,3,2021,spring,0,0,8.123076923076923,90.23076923076924,4.723076923076923,99.46153846153848,992.9153846153846,19.06923076923077,281.38461538461536,6.653846153846154,9.476923076923075,0.5769230769230769,0.0,47.3,31.76923076923077,282.2307692307692,0.1,11.076923076923077
2021-03-27,NJ,88.422830017452,0.0438361254401027,6.875252266782699,0.9751646305991856,1335400.0,590400.0,NNE,42.0,3400.0,86,3,2021,spring,0,0,11.4,72.61538461538461,8.623076923076923,91.53846153846152,1013.0230769230768,13.076923076923077,162.3846153846154,6.561538461538461,13.169230769230769,0.0,0.0,26.084615384615383,25.99230769230769,168.30769230769232,0.3792307692307692,11.076923076923077
2021-03-27,VT,88.57331496199264,0.3457974255880203,0.475129909824638,0.904244933459359,920300.0,508000.0,NNE,38.0,1600.0,86,3,2021,spring,0,0,5.023076923076923,65.3076923076923,1.7999999999999998,63.76923076923077,1008.0076923076924,6.4,192.3846153846154,-1.1615384615384614,5.684615384615385,0.0,0.0,15.353846153846153,11.646153846153847,149.15384615384616,0.3246153846153846,11.076923076923077
2021-03-28,NJ,126.39538243164633,0.3188555629663297,7.476985964581992,0.973044793484584,9300.0,23900.0,Low activity,-1.0,-1.0,87,3,2021,spring,1,1,10.515384615384615,68.07692307692308,5.676923076923076,56.0,1000.6923076923076,26.27692307692308,278.61538461538464,4.7,11.761538461538462,0.5615384615384615,0.0,55.9076923076923,43.56153846153846,280.61538461538464,0.3884615384615384,11.076923076923077
2021-03-28,VT,126.68211057417098,0.7979047443102568,0.4305052272424999,0.9441160678230848,48400.0,90500.0,ENE,10.0,2100.0,87,3,2021,spring,0,0,6.992307692307692,89.46153846153847,2.6923076923076925,80.61538461538461,983.953846153846,21.838461538461537,185.69230769230768,5.323076923076924,6.253846153846154,0.5692307692307692,0.0,50.75384615384615,37.63076923076923,185.23076923076923,0.1053846153846154,11.076923076923077
