DNB_BRDF_Corrected_NTL,DNB_Lunar_Irradiance,Gap_Filled_DNB_BRDF_Corrected_NTL,Latest_High_Quality_Retrieval,Mandatory_Quality_Flag,QF_Cloud_Mask,Snow_Flag,date,filename
,78.10000000000001,0.4670921429622465,1.8641903266191533,,1174.9765437087146,0.7015015022316978,2021-03-01,VT_2021-03-01.tif
1.0123629490265043,56.299074526443626,0.474447157476252,0.8097650163723933,0.12387336875226711,799.2376133494843,0.58960143466004,2021-03-02,VT_2021-03-02.tif
0.7950089957694757,39.86633860705476,0.5372981694119399,0.2677238897490888,0.075781262992246,951.7214138651916,0.7843302911903316,2021-03-03,VT_2021-03-03.tif
0.7770543473534534,27.611024177912515,0.5079089424608095,0.9537396667232044,0.09352049420323198,1201.503530371009,0.3751796767389317,2021-03-04,VT_2021-03-04.tif
0.5144210345751847,18.7,0.4782391755564173,1.5354858078172022,0.007582132098335513,1214.520668589306,0.4467508674909871,2021-03-05,VT_2021-03-05.tif
0.8456429680302212,1.3084224923061156,0.6859071673091717,0.7722002752797916,0.01099127002509448,1006.3623589308346,0.7364545601595144,2021-03-06,VT_2021-03-06.tif
0.7487261309303558,0.5,0.6509208201015861,0.24553890354997596,0.007461502161194947,920.8324123081809,0.8119733731647704,2021-03-07,VT_2021-03-07.tif
0.7296285066522238,0.5,0.6556347183356578,0.0165014065247378,0.00603356324312679,1056.0162548020598,0.47040858163163196,2021-03-08,VT_2021-03-08.tif
0.41630860626556426,0.5,0.4439239975378712,0.8787138647208014,0.024771727388743774,1227.1873476022163,0.17326666285723752,2021-03-09,VT_2021-03-09.tif
0.5225736580654711,0.5,0.4761887672813536,0.15304314625219295,0.005150371878020497,1057.0792878576594,0.07882278121934841,2021-03-10,VT_2021-03-10.tif
0.4331017801125615,0.5,0.4368512528703911,0.7900514185283988,0.010076020498095075,1136.979054878366,0.08894377093165616,2021-03-11,VT_2021-03-11.tif
0.4871035879174847,0.5,0.41907816198249015,0.34118456489057625,0.0027780152830277276,812.8697159120593,0.07779132314771905,2021-03-12,VT_2021-03-12.tif
0.49162978587634865,0.5,0.5321614514175769,0.253542776161724,0.008339785863321944,1001.5240060054757,0.21877372440506807,2021-03-13,VT_2021-03-13.tif
0.6251472498810159,0.5,0.42071898867812385,0.8647418362034637,0.00910026076537652,878.0065060374995,0.12712468388783096,2021-03-14,VT_2021-03-14.tif
0.4657980477288222,0.5,0.49266434675726856,0.724311227268855,0.005028976198008764,724.7046245461231,0.09605515141081242,2021-03-15,VT_2021-03-15.tif
0.4871328981373005,0.5,0.4605698111775712,0.0548715280392126,0.0016592237571056827,451.78554945930443,0.1618868368267599,2021-03-16,VT_2021-03-16.tif
0.4536994957516308,0.5,0.4353501335344806,0.029353084007610285,0.0014235152914058727,611.3221154410281,0.057485473111447805,2021-03-17,VT_2021-03-17.tif
0.41144090490818885,0.5,0.38581291884393526,0.8452318100300842,0.00415357874374761,1002.6801669932336,0.04671743649885667,2021-03-18,VT_2021-03-18.tif
0.42412660621149684,0.5,0.3819394813306832,0.3698106718433434,0.0008764030193064275,789.8214293055407,0.06056390087880476,2021-03-19,VT_2021-03-19.tif
0.4078980791175783,0.5,0.39291907799334,0.060452388841456345,0.0010151993576400292,713.7800466908604,0.010146153432703251,2021-03-20,VT_2021-03-20.tif
0.42370440453281727,0.5,0.4160638551242412,0.06189067924204269,0.00038017595150858596,353.18686762545593,0.0014590434014519003,2021-03-21,VT_2021-03-21.tif
0.39108519209249987,16.745299172473093,0.372440173564699,0.06496746712649733,0.007081188205474122,641.1745782864426,0.361792662310026,2021-03-22,VT_2021-03-22.tif
0.4438710794912425,24.0338937840579,0.4132034456214255,0.06870015162413852,0.03361166891462222,634.6868669327507,0.24496567965413432,2021-03-23,VT_2021-03-23.tif
0.3403186582917077,34.3997750532911,0.28342116800340844,0.4204542990222995,0.0472128062804477,612.6550901300873,0.04421435316557762,2021-03-24,VT_2021-03-24.tif
1.0122360016185008,47.300000000000004,0.3614686407444906,1.1646617166141557,0.1958044207479542,933.2681389780406,0.07832439818630083,2021-03-25,VT_2021-03-25.tif
0.008124061287022553,64.8640368252687,0.35004947199805775,2.1226515074383188,0.0,807.0628567399168,0.0013572010184577576,2021-03-26,VT_2021-03-26.tif
5.688420309763488,88.60573016646538,0.3802999376183548,2.6840140737012543,0.6390395168226672,1183.02480778098,0.002701480890600045,2021-03-27,VT_2021-03-27.tif
1.5000845058013406,126.7679153008304,0.2632071413062139,0.9015788933951419,0.1594225496562501,416.41476201100295,0.004561079827831518,2021-03-28,VT_2021-03-28.tif
4.096797627886486,128.70846336791845,0.33965122395973457,1.2727722409896138,0.40522513780994196,264.16272676788316,0.00561996352730782,2021-03-29,VT_2021-03-29.tif
0.24297885818660409,89.00245769533298,0.2326681190534113,0.03131113246665896,0.006934016816427382,96.25467307958915,0.004171777281622092,2021-03-30,VT_2021-03-30.tif
,64.0,0.35005920514937083,1.0166637549320539,,763.312381944336,0.005611990303542038,2021-03-31,VT_2021-03-31.tif
,45.1,0.3500555522977509,2.016663754932054,,761.7274530449935,0.008775239600322076,2021-04-01,VT_2021-04-01.tif
0.38365532685448284,31.16126986205826,0.35677716746725047,2.338723072380551,0.05440437101153079,1086.7921243436078,0.06802146629338034,2021-04-02,VT_2021-04-02.tif
0.48055498045125966,20.296401743541754,0.45269962282133774,0.05505626933029639,0.011619236570470426,66.64921488202796,0.07000637490341304,2021-04-03,VT_2021-04-03.tif
