date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2022-08-22,89900,294400,SW,10.0,1000.0
2022-08-23,629300,907700,SSW,12.0,1500.0
2022-08-24,1171300,1301100,S,19.0,2600.0
2022-08-25,2197300,2302400,SW,18.0,1400.0
2022-08-26,136300,167600,SSE,9.0,1100.0
2022-08-27,2014100,2070800,SW,18.0,1500.0
2022-08-28,10800,35700,—,-,-
2022-08-29,10100,25800,—,-,-
2022-08-30,10800,67800,SE,16.0,1900.0
2022-08-31,373200,1034100,E,29.0,700.0
2022-09-01,2661600,2013900,S,25.0,1600.0
2022-09-02,172300,186100,WSW,15.0,2300.0
2022-09-03,33600,89000,S,6.0,1200.0
2022-09-04,3312200,4011600,SSW,19.0,1100.0
2022-09-05,51800,168800,SSW,12.0,1100.0
2022-09-06,2740700,3096800,SW,16.0,1500.0
2022-09-07,4513900,4876400,SW,21.0,2300.0
2022-09-08,1423400,1446400,SW,18.0,2200.0
2022-09-09,332200,317800,SSE,13.0,2200.0
2022-09-10,296900,333900,SSW,9.0,2800.0
2022-09-11,726300,867700,WSW,18.0,2000.0
2022-09-12,3807100,5023700,WSW,16.0,1700.0
2022-09-13,120300,257200,SE,19.0,1300.0
2022-09-14,4960300,3927300,S,27.0,1300.0
2022-09-15,1151200,1314800,S,19.0,1500.0
2022-09-16,3130200,2489300,SW,25.0,1300.0
2022-09-17,12400,30300,—,-,-
2022-09-18,48700,201600,S,14.0,1400.0
2022-09-19,18800,103100,ESE,14.0,800.0
2022-09-20,1045100,1541200,SSW,19.0,1000.0
2022-09-21,26100,108500,ESE,12.0,1100.0
2022-09-22,4990500,4167200,S,36.0,1100.0
2022-09-23,3702800,1947900,S,36.0,1600.0
2022-09-24,1131500,1369600,S,16.0,1400.0
2022-09-25,12700,62200,SE,15.0,2200.0
2022-09-26,11800,31700,—,-,-
2022-09-27,89600,269000,S,9.0,1000.0
2022-09-28,12203500,8167900,S,26.0,1900.0
2022-09-29,9238600,5579700,SW,24.0,2800.0
2022-09-30,948100,841000,SW,19.0,3000.0
2022-10-01,12818600,5565300,SW,42.0,2400.0
2022-10-02,4318700,2627900,SW,32.0,2300.0
2022-10-03,1058900,828100,SW,23.0,2400.0
2022-10-04,835000,835100,SW,21.0,2100.0
2022-10-05,771600,864100,SSW,22.0,2800.0
2022-10-06,105000,267400,SSW,9.0,3000.0
2022-10-07,2087900,1802400,SSE,26.0,1300.0
2022-10-08,163800,262800,SSE,15.0,1400.0
2022-10-09,1514200,1442900,SSW,20.0,1700.0
2022-10-10,2557300,2467000,SSW,22.0,1500.0
2022-10-11,35300,41000,—,-,-
2022-10-12,12700,26300,—,-,-
2022-10-13,12300,38500,—,-,-
2022-10-14,4855000,3181000,SSW,22.0,2200.0
2022-10-15,317700,290800,S,12.0,1600.0
2022-10-16,2954500,3407000,SW,15.0,1600.0
2022-10-17,16100,46300,—,-,-
2022-10-18,1855700,1449300,S,19.0,2000.0
2022-10-19,19700,43300,—,-,-
2022-10-20,29300,61900,SE,6.0,3200.0
2022-10-21,30000,77700,SE,5.0,3600.0
2022-10-22,675900,564700,SW,15.0,3100.0
2022-10-23,2799400,3397900,SW,18.0,2500.0
2022-10-24,280600,664900,SW,9.0,1300.0
2022-10-25,18900,64200,SW,8.0,1400.0
2022-10-26,278200,400000,SSE,31.0,1000.0
2022-10-27,9837000,4876400,S,38.0,2500.0
2022-10-28,86400,97400,SW,13.0,2500.0
