date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2022-08-29,9400,21000,—,-,-
2022-08-30,171900,366000,SE,13.0,2100.0
2022-08-31,1627900,1343600,SE,24.0,2900.0
2022-09-01,6918800,4042000,SW,32.0,1500.0
2022-09-02,526600,618100,SW,12.0,2200.0
2022-09-03,14900,23500,—,-,-
2022-09-04,19700,47500,SSW,6.0,4400.0
2022-09-05,8700,25300,—,-,-
2022-09-06,124400,287900,SW,19.0,2000.0
2022-09-07,5833400,3392100,SSW,29.0,1700.0
2022-09-08,5581400,2657600,SW,29.0,2100.0
2022-09-09,209400,245000,SW,15.0,2500.0
2022-09-10,13500,33100,—,-,-
2022-09-11,12400,26600,—,-,-
2022-09-12,87300,309500,SSW,10.0,1500.0
2022-09-13,4355500,2240300,S,28.0,1500.0
2022-09-14,5029900,2435100,S,22.0,3200.0
2022-09-15,9467200,5752800,SSW,24.0,1600.0
2022-09-16,1262100,1030900,SSW,18.0,1100.0
2022-09-17,9200,19800,—,-,-
2022-09-18,22800,36200,—,-,-
2022-09-19,228500,248600,SE,10.0,1000.0
2022-09-20,9205400,4699000,SSW,26.0,1700.0
2022-09-21,16700,36300,—,-,-
2022-09-22,2518600,1834100,S,30.0,1500.0
2022-09-23,3492000,1858800,S,31.0,1500.0
2022-09-24,64400,152800,SSE,9.0,2500.0
2022-09-25,22500,43000,ESE,25.0,1600.0
2022-09-26,117900,191700,SE,13.0,1500.0
2022-09-27,1369800,1409800,SSE,16.0,1000.0
2022-09-28,16801100,7292800,SW,35.0,2200.0
2022-09-29,6112500,2489000,SW,32.0,1600.0
2022-09-30,54900,222100,WSW,21.0,1700.0
2022-10-01,171500,115700,SW,32.0,1200.0
2022-10-02,60300,131400,SW,32.0,1600.0
2022-10-03,30700,81500,SSW,25.0,1100.0
2022-10-04,28400,71700,SSW,28.0,1000.0
2022-10-05,3304600,1633300,SSW,29.0,1900.0
2022-10-06,1256600,1214600,S,12.0,3200.0
2022-10-07,3464100,2308600,S,26.0,1300.0
2022-10-08,4704000,3924100,S,21.0,1700.0
2022-10-09,133500,143700,SSW,15.0,3300.0
2022-10-10,754000,556800,SSE,15.0,1700.0
2022-10-11,142500,242700,SSW,11.0,4500.0
2022-10-12,10700,20300,—,-,-
2022-10-13,134600,180800,SSW,31.0,1300.0
2022-10-14,10943800,7554500,SSW,19.0,2100.0
2022-10-15,689100,521900,SE,22.0,1600.0
2022-10-16,442900,1090000,S,11.0,1700.0
2022-10-17,305000,504400,SSE,24.0,1800.0
2022-10-18,3221600,2455100,S,23.0,1400.0
2022-10-19,15200,36700,—,-,-
2022-10-20,32700,128100,S,11.0,1100.0
2022-10-21,250900,429000,SW,11.0,4500.0
2022-10-22,6306700,2656800,SW,23.0,2200.0
2022-10-23,1088200,1331400,SW,27.0,1100.0
2022-10-24,30100,45500,SW,11.0,1500.0
2022-10-25,60700,120200,WSW,11.0,1600.0
2022-10-26,1926600,885500,SSE,28.0,1600.0
2022-10-27,25221600,9526900,SSW,39.0,2800.0
2022-10-28,548600,295900,SW,23.0,1600.0
2022-10-29,218800,168700,SSW,16.0,1900.0
2022-10-30,19100,29100,—,-,-
2022-10-31,11500,25000,—,-,-
2022-11-01,1214500,431400,S,34.0,3200.0
2022-11-02,2402200,1346600,SW,29.0,3800.0
2022-11-03,14300,23200,—,-,-
2022-11-04,11400,19800,—,-,-
2022-11-05,11500,20000,—,-,-
2022-11-06,13600,21500,—,-,-
2022-11-07,3873300,1637200,SSW,39.0,2500.0
2022-11-08,2014300,826500,SW,49.0,4200.0
2022-11-09,12500,20200,—,-,-
2022-11-10,11500,20300,—,-,-
2022-11-11,13000,21600,—,-,-
2022-11-12,38200,43800,SSE,14.0,1200.0
2022-11-13,224900,116500,S,31.0,2100.0
2022-11-14,743300,412800,SW,27.0,3200.0
2023-03-01,84800,56600,NNE,26.0,1600.0
2023-03-02,10800,20600,—,-,-
2023-03-03,29000,40100,E,36.0,900.0
2023-03-04,10800,24200,—,-,-
2023-03-05,11800,30900,—,-,-
2023-03-06,233900,399600,NNE,27.0,5000.0
